Time,GPS_Lat,GPS_Lon,GPS_Alt,Target_Lat,Target_Lon,Target_Alt
1751173427.9501724,36.0757765,136.2132941,0.506,36.0757765,136.213294,0.5
1751173428.05023,36.0757765,136.2132941,0.506,36.0757765,136.213294,0.5
1751173428.1502872,36.0757765,136.2132941,0.506,36.0757765,136.213294,0.5
1751173428.2503452,36.0757765,136.2132941,0.506,36.0757765,136.213294,0.5
1751173428.3504028,36.0757765,136.2132941,0.506,36.0757765,136.213294,0.5
1751173428.4504619,36.0757765,136.2132941,0.506,36.0757765,136.213294,0.5
1751173428.5505204,36.0757765,136.2132941,0.506,36.0757765,136.213294,0.5
1751173428.6505775,36.0757765,136.2132941,0.506,36.0757765,136.213294,0.5
1751173428.750634,36.0757765,136.2132941,0.506,36.0757765,136.213294,0.5
1751173428.8506916,36.0757765,136.2132941,0.506,36.0757765,136.213294,0.5
1751173428.950749,36.0757764,136.213294,0.508,36.0757765,136.213294,0.5
1751173429.0508065,36.0757764,136.213294,0.508,36.0757765,136.213294,0.5
1751173429.150864,36.0757764,136.213294,0.508,36.0757765,136.213294,0.5
1751173429.250921,36.0757764,136.213294,0.508,36.0757765,136.213294,0.5
1751173429.3509784,36.0757764,136.213294,0.508,36.0757765,136.213294,0.5
1751173429.4510355,36.0757764,136.213294,0.508,36.0757765,136.213294,0.5
1751173429.551093,36.0757764,136.213294,0.508,36.0757765,136.213294,0.5
1751173429.651151,36.0757764,136.213294,0.508,36.0757765,136.213294,0.5
1751173429.751207,36.0757764,136.213294,0.508,36.0757765,136.213294,0.5
1751173429.8512642,36.0757764,136.213294,0.508,36.0757765,136.213294,0.6
1751173429.951321,36.0757764,136.2132939,0.515,36.0757765,136.213294,0.6
1751173430.0513783,36.0757764,136.2132939,0.515,36.0757765,136.213294,0.6
1751173430.1514344,36.0757764,136.2132939,0.515,36.0757765,136.213294,0.6
1751173430.251491,36.0757764,136.2132939,0.515,36.0757765,136.213294,0.6
1751173430.351548,36.0757764,136.2132939,0.515,36.0757765,136.213294,0.6
1751173430.4516044,36.0757764,136.2132939,0.515,36.0757765,136.213294,0.6
1751173430.5516617,36.0757764,136.2132939,0.515,36.0757765,136.213294,0.6
1751173430.651719,36.0757764,136.2132939,0.515,36.0757765,136.213294,0.6
1751173430.7517762,36.0757764,136.2132939,0.515,36.0757765,136.213294,0.6
1751173430.8518326,36.0757764,136.2132939,0.515,36.0757765,136.213294,0.6
1751173430.951889,36.0757766,136.213294,0.607,36.0757765,136.213294,0.6
1751173431.0519466,36.0757766,136.213294,0.607,36.0757765,136.213294,0.6
1751173431.152004,36.0757766,136.213294,0.607,36.0757765,136.213294,0.6
1751173431.2520616,36.0757766,136.213294,0.607,36.0757765,136.213294,0.6
1751173431.3521187,36.0757766,136.213294,0.607,36.0757765,136.213294,0.6
1751173431.4521754,36.0757766,136.213294,0.607,36.0757765,136.213294,0.7
1751173431.5522332,36.0757766,136.213294,0.607,36.0757765,136.213294,0.7
1751173431.6522906,36.0757766,136.213294,0.607,36.0757765,136.213294,0.7
1751173431.752347,36.0757766,136.213294,0.607,36.0757765,136.213294,0.7
1751173431.8524036,36.0757766,136.213294,0.607,36.0757765,136.213294,0.7
1751173431.9524615,36.0757765,136.2132941,0.627,36.0757765,136.213294,0.7
1751173432.052519,36.0757765,136.2132941,0.627,36.0757765,136.213294,0.7
1751173432.1525755,36.0757765,136.2132941,0.627,36.0757765,136.213294,0.7
1751173432.2526326,36.0757765,136.2132941,0.627,36.0757765,136.213294,0.7
