Timestamp,M0_Thrust_N,M1_Thrust_N,M2_Thrust_N,M3_Thrust_N
2025/07/20 17:12:54.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:54.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:55.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:55.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:55.221,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:55.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:55.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:55.521,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:55.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:55.721,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:55.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:55.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:56.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:56.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:56.221,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:56.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:56.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:56.521,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:56.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:56.721,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:56.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:56.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:57.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:57.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:57.221,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:57.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:57.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:57.521,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:57.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:57.721,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:57.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:57.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:58.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:58.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:58.221,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:58.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:58.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:58.521,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:58.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:58.721,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:58.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:58.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:59.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:59.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:59.221,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:59.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:59.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:59.521,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:59.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:59.721,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:59.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:12:59.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:00.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:00.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:00.221,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:00.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:00.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:00.521,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:00.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:00.721,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:00.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:00.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:01.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:01.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:01.221,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:01.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:01.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:01.521,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:01.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:01.721,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:01.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:01.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:02.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:02.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:02.221,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:02.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:02.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:02.521,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:02.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:02.721,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:02.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:02.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:03.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:03.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:03.221,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:03.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:03.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:03.521,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:03.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:03.721,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:03.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:03.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:04.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:04.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:04.221,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:04.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:04.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:04.521,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:04.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:04.721,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:04.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:04.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:05.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:05.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:05.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:05.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:05.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:05.521,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:05.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:05.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:05.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:05.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:06.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:06.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:06.221,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:06.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:06.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:06.521,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:06.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:06.721,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:06.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:06.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:07.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:07.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:07.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:07.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:07.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:07.521,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:07.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:07.721,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:07.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:07.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:08.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:08.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:08.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:08.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:08.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:08.521,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:08.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:08.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:08.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:08.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:09.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:09.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:09.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:09.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:09.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:09.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:09.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:09.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:09.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:09.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:10.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:10.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:10.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:10.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:10.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:10.521,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:10.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:10.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:10.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:10.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:11.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:11.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:11.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:11.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:11.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:11.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:11.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:11.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:11.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:11.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:12.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:12.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:12.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:12.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:12.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:12.521,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:12.621,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:12.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:12.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:12.921,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:13.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:13.121,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:13.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:13.321,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:13.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:13.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:13.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:13.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:13.821,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:13.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:14.021,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:14.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:14.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:14.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:14.421,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:14.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:14.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:14.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:14.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:14.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:15.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:15.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:15.223,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:15.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:15.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:15.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:15.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:15.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:15.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:15.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:16.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:16.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:16.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:16.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:16.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:16.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:16.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:16.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:16.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:16.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:17.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:17.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:17.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:17.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:17.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:17.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:17.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:17.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:17.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:17.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:18.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:18.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:18.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:18.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:18.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:18.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:18.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:18.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:18.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:18.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:19.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:19.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:19.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:19.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:19.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:19.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:19.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:19.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:19.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:19.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:20.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:20.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:20.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:20.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:20.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:20.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:20.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:20.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:20.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:20.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:21.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:21.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:21.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:21.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:21.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:21.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:21.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:21.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:21.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:21.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:22.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:22.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:22.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:22.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:22.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:22.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:22.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:22.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:22.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:22.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:23.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:23.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:23.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:23.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:23.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:23.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:23.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:23.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:23.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:23.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:24.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:24.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:24.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:24.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:24.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:24.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:24.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:24.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:24.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:24.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:25.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:25.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:25.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:25.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:25.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:25.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:25.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:25.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:25.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:25.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:26.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:26.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:26.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:26.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:26.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:26.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:26.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:26.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:26.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:26.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:27.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:27.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:27.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:27.322,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:27.422,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:27.522,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:27.622,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:27.722,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:27.822,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:27.922,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:28.022,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:28.122,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:28.222,-0.258,-0.258,-0.258,-0.258
2025/07/20 17:13:28.322,-0.258,-0.258,-0.258,-0.258
