Timestamp,Force_X_N,Force_Y_N,Force_Z_N,Force_Magnitude_N,Quat_Q1,Quat_Q2,Quat_Q3,Quat_Q4,Correction_Gain
2025/08/10 15:58:58.098,-0.205,-0.031,-23.509,23.50991422783163,0.997235,-0.011076,-0.073474,-0.000816,1.0
2025/08/10 15:58:58.198,-0.197,-0.034,-23.472,23.472851318065302,0.99743,-0.012306,-0.070568,-0.00087,1.0
2025/08/10 15:58:58.298,-0.199,-0.026,-23.503,23.50385683244348,0.997428,-0.009493,-0.071029,-0.000676,1.0
2025/08/10 15:58:58.398,-0.21,-0.018,-23.504,23.50494501163532,0.997159,-0.006681,-0.075016,-0.000502,1.0
2025/08/10 15:58:58.498,-0.187,-0.032,-23.464,23.464766970928984,0.997683,-0.011441,-0.067059,-0.000769,1.0
2025/08/10 15:58:58.598,-0.219,-0.024,-23.486,23.487033294990667,0.996888,-0.008572,-0.078355,-0.000673,1.0
2025/08/10 15:58:58.698,-0.228,-0.015,-23.507,23.50811047277088,0.99665,-0.005562,-0.081593,-0.000455,1.0
2025/08/10 15:58:58.798,-0.202,-0.022,-23.468,23.46887964944215,0.997356,-0.008108,-0.072204,-0.000586,1.0
2025/08/10 15:58:58.898,-0.211,-0.027,-23.499,23.499962787204577,0.997114,-0.009678,-0.07529,-0.00073,1.0
2025/08/10 15:58:58.998,-0.205,-0.029,-23.53,23.53091086209797,0.997245,-0.010544,-0.073417,-0.000776,1.0
2025/08/10 15:58:59.098,-0.178,-0.044,-23.478,23.47871597851978,0.997854,-0.015701,-0.063556,-0.001,1.0
2025/08/10 15:58:59.198,-0.215,-0.773,-23.498,23.511694069122285,0.966038,-0.24667,-0.074572,-0.019041,1.0
2025/08/10 15:58:59.298,-0.223,0.106,-23.534,23.535295218033703,0.996101,0.038044,-0.079531,0.003037,1.0
2025/08/10 15:58:59.398,-0.232,0.009,-23.552,23.553144354841457,0.996545,0.003254,-0.082986,0.000271,1.0
2025/08/10 15:58:59.498,-0.196,-0.047,-23.458,23.458865893303535,0.997387,-0.016982,-0.070208,-0.001195,1.0
2025/08/10 15:58:59.598,-0.158,-0.095,-23.469,23.469724114271138,0.997821,-0.034039,-0.056471,-0.001926,1.0
2025/08/10 15:58:59.698,-0.201,-0.039,-23.485,23.485892510185767,0.997316,-0.013913,-0.071872,-0.001002,1.0
2025/08/10 15:58:59.798,-0.285,0.052,-23.523,23.524783909740805,0.994649,0.018673,-0.101587,0.001907,1.0
2025/08/10 15:58:59.898,-0.31,0.054,-23.571,23.573100284010163,0.99368,0.019389,-0.110539,0.002156,1.0
2025/08/10 15:58:59.998,-0.235,-0.006,-23.497,23.498175886651286,0.996462,-0.002375,-0.084002,-0.0002,1.0
2025/08/10 15:59:00.098,-0.137,-0.082,-23.451,23.451543531290216,0.998351,-0.029575,-0.049166,-0.001456,1.0
2025/08/10 15:59:00.198,-0.132,-0.098,-23.468,23.4685758408984,0.998264,-0.035188,-0.047186,-0.001663,1.0
2025/08/10 15:59:00.298,-0.133,-0.081,-23.494,23.494516083545964,0.998442,-0.029028,-0.047626,-0.001384,1.0
2025/08/10 15:59:00.398,-0.137,-0.064,-23.452,23.452487480009452,0.998519,-0.023149,-0.049213,-0.00114,1.0
2025/08/10 15:59:00.498,-0.169,-0.039,-23.475,23.475640715430966,0.99807,-0.014141,-0.060448,-0.000856,1.0
2025/08/10 15:59:00.598,-0.154,-0.057,-23.509,23.509573496769356,0.998268,-0.020455,-0.055149,-0.00113,1.0
2025/08/10 15:59:00.698,-0.159,-0.08,-23.174,23.174683536134857,0.997962,-0.028819,-0.056905,-0.001643,1.0
2025/08/10 15:59:00.798,-0.165,-0.012,-23.206,23.206589689137868,0.99824,-0.004327,-0.059132,-0.000256,1.0
2025/08/10 15:59:00.898,-0.211,-0.005,-23.213,23.213959485619853,0.997139,-0.002067,-0.075558,-0.000156,1.0
2025/08/10 15:59:00.998,-0.256,-0.001,-23.179,23.180413671891188,0.995806,-0.000286,-0.091488,-2.6e-05,1.0
2025/08/10 15:59:01.098,-0.256,-0.015,-23.191,23.192417769607374,0.995809,-0.005527,-0.091285,-0.000506,1.0
2025/08/10 15:59:01.198,-0.271,0.011,-23.192,23.193585880583452,0.995289,0.004186,-0.096852,0.000407,1.0
2025/08/10 15:59:01.298,-0.214,-0.012,-23.17,23.170991346940685,0.997059,-0.004617,-0.076494,-0.000354,1.0
2025/08/10 15:59:01.398,-0.212,-0.007,-23.135,23.13597238068891,0.997112,-0.002547,-0.075898,-0.000193,1.0
2025/08/10 15:59:01.498,-0.199,-0.02,-23.182,23.182862743845934,0.997433,-0.007158,-0.071235,-0.000511,1.0
2025/08/10 15:59:01.598,-0.206,-0.046,-23.126,23.12696322477294,0.997136,-0.016677,-0.073753,-0.001233,1.0
2025/08/10 15:59:01.698,-0.175,-0.072,-23.077,23.077775846038545,0.997706,-0.025881,-0.06253,-0.001622,1.0
2025/08/10 15:59:01.798,-0.189,-0.065,-23.109,23.10986427913414,0.99745,-0.023192,-0.067471,-0.001568,1.0
2025/08/10 15:59:01.898,-0.174,-0.031,-23.071,23.071676965491697,0.997988,-0.01117,-0.062395,-0.000698,1.0
2025/08/10 15:59:01.998,-0.14,-0.032,-23.031,23.031447739992377,0.998675,-0.011508,-0.050142,-0.000577,1.0
2025/08/10 15:59:02.098,-0.143,-0.027,-23.074,23.074458910232327,0.998632,-0.009901,-0.051328,-0.000508,1.0
2025/08/10 15:59:02.198,-0.198,-0.027,-23.084,23.08486493354466,0.997428,-0.00979,-0.070987,-0.000696,1.0
2025/08/10 15:59:02.298,-0.186,-0.022,-23.071,23.071760249274437,0.997753,-0.008173,-0.066487,-0.000544,1.0
2025/08/10 15:59:02.398,-0.233,-0.011,-23.042,23.043180639833558,0.996529,-0.004196,-0.083134,-0.00035,1.0
