Timestamp,M0_Thrust_N,M1_Thrust_N,M2_Thrust_N,M3_Thrust_N
2025/07/20 16:46:30.602,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:30.628,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:30.652,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:30.678,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:30.702,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:30.728,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:30.753,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:30.778,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:30.802,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:30.828,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:30.852,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:30.878,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:30.902,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:30.928,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:30.952,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:30.977,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:31.002,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:31.028,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:31.053,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:31.078,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:31.103,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:31.128,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:31.152,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:31.178,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:31.202,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:31.228,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:31.252,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:31.278,-0.258,-0.258,-0.258,-0.258
2025/07/20 16:46:31.303,-0.258,-0.258,-0.258,-0.258
