Time,GPS_Lat,GPS_Lon,GPS_Alt,N(m),E(m),Target_Alt,Yaw(deg),Local_X(m),Local_Y(m)
2025-06-29T15:33:13.201288+09:00,36.0757764,136.2132938,0.005,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:13.301442+09:00,36.0757764,136.2132938,0.005,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:13.401562+09:00,36.0757764,136.2132938,0.005,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:13.501675+09:00,36.0757764,136.2132938,0.005,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:13.601781+09:00,36.0757764,136.2132938,0.005,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:13.701884+09:00,36.0757764,136.2132938,0.005,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:13.801987+09:00,36.0757764,136.2132938,0.005,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:13.902095+09:00,36.0757764,136.2132938,0.005,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:14.002202+09:00,36.0757764,136.2132938,0.005,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:14.102315+09:00,36.0757764,136.2132938,0.008,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:14.202418+09:00,36.0757764,136.2132938,0.008,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:14.302516+09:00,36.0757764,136.2132938,0.008,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:14.402619+09:00,36.0757764,136.2132938,0.008,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:14.502718+09:00,36.0757764,136.2132938,0.008,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:14.602821+09:00,36.0757764,136.2132938,0.008,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:14.702920+09:00,36.0757764,136.2132938,0.008,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:14.803022+09:00,36.0757764,136.2132938,0.008,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:14.903122+09:00,36.0757764,136.2132938,0.008,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:15.003224+09:00,36.0757764,136.2132938,0.008,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:33:15.103326+09:00,36.0757762,136.2132937,0.409,0.0,0.0,0.5,180.0,-0.008728080429136753,-0.022297045215964317
2025-06-29T15:33:15.203428+09:00,36.0757762,136.2132937,0.409,0.0,0.0,0.5,180.0,-0.008728080429136753,-0.022297045215964317
2025-06-29T15:33:15.303527+09:00,36.0757762,136.2132937,0.409,0.0,0.0,0.5,180.0,-0.008728080429136753,-0.022297045215964317
2025-06-29T15:33:15.403628+09:00,36.0757762,136.2132937,0.409,0.0,0.0,0.5,180.0,-0.008728080429136753,-0.022297045215964317
2025-06-29T15:33:15.503726+09:00,36.0757762,136.2132937,0.409,0.0,0.0,0.5,180.0,-0.008728080429136753,-0.022297045215964317
2025-06-29T15:33:15.603826+09:00,36.0757762,136.2132937,0.409,0.0,0.0,0.5,180.0,-0.008728080429136753,-0.022297045215964317
2025-06-29T15:33:15.703924+09:00,36.0757762,136.2132937,0.409,0.0,0.0,0.5,180.0,-0.008728080429136753,-0.022297045215964317
2025-06-29T15:33:15.804025+09:00,36.0757762,136.2132937,0.409,0.0,0.0,0.5,180.0,-0.008728080429136753,-0.022297045215964317
2025-06-29T15:33:15.904125+09:00,36.0757762,136.2132937,0.409,0.0,0.0,0.5,180.0,-0.008728080429136753,-0.022297045215964317
2025-06-29T15:33:16.004228+09:00,36.0757762,136.2132937,0.409,0.0,0.0,0.5,180.0,-0.008728080429136753,-0.022297045215964317
2025-06-29T15:33:16.104327+09:00,36.0757762,136.213294,0.501,0.0,0.0,0.5,180.0,0.01828618871513754,-0.02196013741195202
2025-06-29T15:33:16.204429+09:00,36.0757762,136.213294,0.501,0.0,0.0,0.5,180.0,0.01828618871513754,-0.02196013741195202
2025-06-29T15:33:16.304527+09:00,36.0757762,136.213294,0.501,0.0,0.0,0.5,180.0,0.01828618871513754,-0.02196013741195202
2025-06-29T15:33:16.404628+09:00,36.0757762,136.213294,0.501,0.0,0.0,0.5,180.0,0.01828618871513754,-0.02196013741195202
