Timestamp,Force_X_N,Force_Y_N,Force_Z_N,Force_Magnitude_N,Quat_Q1,Quat_Q2,Quat_Q3,Quat_Q4,Correction_Gain
2025/08/27 18:57:05.163,0.129,0.082,-23.507,23.50749697436969,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:05.263,0.133,0.045,-23.512,23.51241922899471,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:05.363,0.11,0.035,-23.54,23.54028302718555,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:05.463,0.095,0.041,-23.519,23.519227602113126,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:05.563,0.061,0.094,-23.518,23.518266964213158,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:05.663,0.039,0.129,-23.561,23.56138542191439,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:05.763,0.07,0.079,-23.536,23.53623667878958,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:05.863,0.093,0.083,-23.507,23.507330494975392,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:05.963,0.097,0.139,-23.541,23.54161020406208,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:06.063,0.121,0.155,-23.521,23.521821931984775,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:06.163,0.147,0.149,-23.493,23.493932386895132,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:06.263,0.149,0.135,-23.536,23.53685879636448,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:06.363,0.18,0.093,-23.503,23.503873255274332,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:06.463,0.18,0.055,-23.462,23.462754932019386,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:06.563,0.143,0.072,-23.5,23.500545376650305,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:06.663,0.141,0.05,-23.492,23.49247634882283,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:06.763,0.13,-0.007,-23.463,23.463361182916653,1.0,-0.0,0.0,0.0,0.0
2025/08/27 18:57:06.863,0.129,-0.021,-23.514,23.51436322761048,1.0,-0.0,0.0,0.0,0.0
2025/08/27 18:57:06.963,0.081,-0.004,-23.526,23.526139781103062,1.0,-0.0,0.0,0.0,0.0
2025/08/27 18:57:07.063,0.088,-0.005,-23.508,23.508165241039123,1.0,-0.0,0.0,0.0,0.0
2025/08/27 18:57:07.163,0.055,0.058,-23.54,23.540135704791506,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:07.263,0.052,0.066,-23.571,23.57114975982292,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:07.363,0.067,0.057,-23.452,23.452164974688372,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:07.463,0.097,0.118,-23.441,23.44149769106061,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:07.563,0.11,0.164,-23.44,23.4408318111794,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:07.663,0.121,0.134,-23.416,23.41669603082382,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:07.763,0.074,0.111,-23.453,23.45337941534226,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:07.863,0.073,0.109,-23.5,23.50036616736003,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:07.963,0.105,0.123,-23.427,23.427558195424467,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:08.063,0.127,0.133,-23.405,23.405722441317636,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:08.163,0.092,0.123,-23.468,23.468502657817776,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:08.263,0.114,0.063,-23.453,23.453361678019636,1.0,0.0,0.0,0.0,0.0
2025/08/27 18:57:08.363,0.166,0.085,-23.409,23.409742886242896,1.0,0.0,0.0,0.0,0.0
