Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress,phase_error_rad,estimated_freq_Hz,phase_correction_rad,PhaseCorr_raw
2026/01/15 18:11:18.594,0.328,0.167,6.245,0.124,-0.123,0.043,0.042,-0.194,0.11,-0.321,0.231,6.008,1701210,,,-0.008,0.5944,-21.0,PhaseCorr: err=-0.0080 est_freq=0.5944 Hz corr=-21
2026/01/15 18:11:18.698,,,,,,,,,,,,,,,,-0.0029,0.5952,-21.0,PhaseCorr: err=-0.0029 est_freq=0.5952 Hz corr=-21
2026/01/15 18:11:18.700,0.119,-0.119,6.084,0.086,-0.133,0.074,0.046,-0.166,0.115,-0.226,0.257,6.171,1701310,,,-0.0029,0.5952,-21.0,PhaseCorr: err=-0.0029 est_freq=0.5952 Hz corr=-21
2026/01/15 18:11:18.794,0.046,0.059,6.417,0.076,-0.123,0.099,0.02,-0.15,0.098,-0.147,0.207,6.228,1701410,,,-0.0029,0.5952,-21.0,PhaseCorr: err=-0.0029 est_freq=0.5952 Hz corr=-21
2026/01/15 18:11:18.894,0.074,-0.024,6.439,0.078,-0.124,0.126,0.042,-0.134,0.112,-0.064,0.21,6.279,1701510,,,-0.0029,0.5952,-21.0,PhaseCorr: err=-0.0029 est_freq=0.5952 Hz corr=-21
2026/01/15 18:11:18.994,0.01,0.24,6.359,0.083,-0.135,0.139,0.015,-0.126,0.095,-0.0,0.129,6.251,1701610,,,-0.0029,0.5952,-21.0,PhaseCorr: err=-0.0029 est_freq=0.5952 Hz corr=-21
2026/01/15 18:11:19.094,-0.276,0.24,6.121,0.081,-0.117,0.133,0.046,-0.13,0.115,0.018,0.133,6.213,1701710,,,-0.0029,0.5952,-21.0,PhaseCorr: err=-0.0029 est_freq=0.5952 Hz corr=-21
2026/01/15 18:11:19.194,-0.187,0.169,6.146,0.054,-0.114,0.109,0.049,-0.15,0.117,-0.029,0.092,6.102,1701810,,,-0.0029,0.5952,-21.0,PhaseCorr: err=-0.0029 est_freq=0.5952 Hz corr=-21
2026/01/15 18:11:19.294,-0.364,0.518,5.745,0.033,-0.084,0.096,0.066,-0.164,0.136,-0.083,0.103,6.002,1701910,,,-0.0029,0.5952,-21.0,PhaseCorr: err=-0.0029 est_freq=0.5952 Hz corr=-21
2026/01/15 18:11:19.394,-0.407,0.181,5.897,0.012,-0.094,0.088,0.064,-0.176,0.131,-0.145,0.052,5.834,1702010,,,-0.0029,0.5952,-21.0,PhaseCorr: err=-0.0029 est_freq=0.5952 Hz corr=-21
2026/01/15 18:11:19.494,-0.359,-0.256,5.694,-0.009,-0.072,0.085,0.066,-0.187,0.143,-0.21,0.061,5.687,1702110,,,-0.0029,0.5952,-21.0,PhaseCorr: err=-0.0029 est_freq=0.5952 Hz corr=-21
2026/01/15 18:11:19.594,-0.051,0.085,5.886,-0.009,-0.081,0.087,0.069,-0.187,0.138,-0.24,0.033,5.562,1702210,,,-0.0029,0.5952,-21.0,PhaseCorr: err=-0.0029 est_freq=0.5952 Hz corr=-21
2026/01/15 18:11:19.698,,,,,,,,,,,,,,,,0.0122,0.5976,-21.0,PhaseCorr: err=0.0122 est_freq=0.5976 Hz corr=-21.
2026/01/15 18:11:19.700,-0.473,0.03,5.533,-0.015,-0.073,0.092,0.058,-0.191,0.145,-0.273,0.053,5.494,1702310,,,0.0122,0.5976,-21.0,PhaseCorr: err=0.0122 est_freq=0.5976 Hz corr=-21.
2026/01/15 18:11:19.794,0.112,-0.189,5.667,-0.015,-0.073,0.097,0.06,-0.193,0.144,-0.291,0.064,5.47,1702410,,,0.0122,0.5976,-21.0,PhaseCorr: err=0.0122 est_freq=0.5976 Hz corr=-21.
2026/01/15 18:11:19.894,0.014,-0.286,5.5,-0.016,-0.075,0.088,0.07,-0.19,0.14,-0.278,0.075,5.473,1702510,,,0.0122,0.5976,-21.0,PhaseCorr: err=0.0122 est_freq=0.5976 Hz corr=-21.
2026/01/15 18:11:19.994,-0.078,0.42,5.511,-0.027,-0.07,0.069,0.072,-0.184,0.139,-0.235,0.104,5.532,1702610,,,0.0122,0.5976,-21.0,PhaseCorr: err=0.0122 est_freq=0.5976 Hz corr=-21.
2026/01/15 18:11:20.094,-0.285,0.361,5.09,-0.039,-0.066,0.06,0.076,-0.18,0.138,-0.193,0.134,5.621,1702710,,,0.0122,0.5976,-21.0,PhaseCorr: err=0.0122 est_freq=0.5976 Hz corr=-21.
2026/01/15 18:11:20.193,-0.158,0.282,5.571,-0.058,-0.053,0.053,0.078,-0.174,0.133,-0.139,0.154,5.723,1702810,,,0.0122,0.5976,-21.0,PhaseCorr: err=0.0122 est_freq=0.5976 Hz corr=-21.
2026/01/15 18:11:20.294,-0.151,0.348,5.35,-0.058,-0.064,0.055,0.081,-0.173,0.138,-0.115,0.203,5.799,1702910,,,0.0122,0.5976,-21.0,PhaseCorr: err=0.0122 est_freq=0.5976 Hz corr=-21.
2026/01/15 18:11:20.393,-0.226,-0.064,5.744,-0.071,-0.051,0.067,0.065,-0.164,0.126,-0.072,0.198,5.866,1703010,,,0.0122,0.5976,-21.0,PhaseCorr: err=0.0122 est_freq=0.5976 Hz corr=-21.
2026/01/15 18:11:20.493,0.073,-0.25,5.867,-0.064,-0.049,0.057,0.055,-0.171,0.12,-0.084,0.194,5.917,1703110,,,0.0122,0.5976,-21.0,PhaseCorr: err=0.0122 est_freq=0.5976 Hz corr=-21.
