Time,GPS_Lat,GPS_Lon,GPS_Alt,N(m),E(m),Target_Alt,Target_Yaw(deg),Local_X(m),Local_Y(m),Yaw_Offset(deg),Initial_Yaw(deg)
2025-06-29T15:28:48.187103+09:00,36.0757772,136.2132943,0.007,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:48.287256+09:00,36.0757772,136.2132943,0.007,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:48.387360+09:00,36.0757772,136.2132943,0.007,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:48.487453+09:00,36.0757772,136.2132943,0.007,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:48.587540+09:00,36.0757772,136.2132943,0.007,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:48.687626+09:00,36.0757772,136.2132943,0.007,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:48.787710+09:00,36.0757772,136.2132943,0.007,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:48.887801+09:00,36.0757772,136.2132943,0.007,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:48.987888+09:00,36.0757772,136.2132943,0.007,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:49.087974+09:00,36.0757772,136.2132943,0.019,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:49.188060+09:00,36.0757772,136.2132943,0.019,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:49.288142+09:00,36.0757772,136.2132943,0.019,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:49.388223+09:00,36.0757772,136.2132943,0.019,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:49.488303+09:00,36.0757772,136.2132943,0.019,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:49.588393+09:00,36.0757772,136.2132943,0.019,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:49.688474+09:00,36.0757772,136.2132943,0.019,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:49.788564+09:00,36.0757772,136.2132943,0.019,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:49.888667+09:00,36.0757772,136.2132943,0.019,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:49.988772+09:00,36.0757772,136.2132943,0.019,0.0,0.0,0.5,165.5870627658005,0.0,0.0,0.0,165.5870627658005
2025-06-29T15:28:50.088869+09:00,36.075777,136.2132943,0.388,0.0,0.0,0.5,165.5870627658005,0.00027667591348290443,-0.022184742148965597,0.0,165.5870627658005
2025-06-29T15:28:50.188965+09:00,36.075777,136.2132943,0.388,0.0,0.0,0.5,165.5870627658005,0.00027667591348290443,-0.022184742148965597,0.0,165.5870627658005
2025-06-29T15:28:50.289054+09:00,36.075777,136.2132943,0.388,0.0,0.0,0.5,165.5870627658005,0.00027667591348290443,-0.022184742148965597,0.0,165.5870627658005
2025-06-29T15:28:50.389137+09:00,36.075777,136.2132943,0.388,0.0,0.0,0.5,165.5870627658005,0.00027667591348290443,-0.022184742148965597,0.0,165.5870627658005
2025-06-29T15:28:50.489216+09:00,36.075777,136.2132943,0.388,0.0,0.0,0.5,165.5870627658005,0.00027667591348290443,-0.022184742148965597,0.0,165.5870627658005
2025-06-29T15:28:50.589295+09:00,36.075777,136.2132943,0.388,0.0,0.0,0.5,165.5870627658005,0.00027667591348290443,-0.022184742148965597,0.0,165.5870627658005
2025-06-29T15:28:50.689376+09:00,36.075777,136.2132943,0.388,0.0,0.0,0.5,165.5870627658005,0.00027667591348290443,-0.022184742148965597,0.0,165.5870627658005
2025-06-29T15:28:50.789456+09:00,36.075777,136.2132943,0.388,0.0,0.0,0.5,165.5870627658005,0.00027667591348290443,-0.022184742148965597,0.0,165.5870627658005
2025-06-29T15:28:50.889534+09:00,36.075777,136.2132943,0.388,0.0,0.0,0.5,165.5870627658005,0.00027667591348290443,-0.022184742148965597,0.0,165.5870627658005
2025-06-29T15:28:50.989613+09:00,36.075777,136.2132943,0.388,0.0,0.0,0.5,165.5870627658005,0.00027667591348290443,-0.022184742148965597,0.0,165.5870627658005
