Timestamp,Force_X_N,Force_Y_N,Force_Z_N,Force_Magnitude_N
2025/08/04 16:15:22.926,0.658,-1.574,-23.367,23.42919394686894
2025/08/04 16:15:23.026,0.641,-1.561,-23.355,23.415884074704508
2025/08/04 16:15:23.126,0.623,-1.574,-23.359,23.420258025905692
2025/08/04 16:15:23.226,0.641,-1.593,-23.361,23.424022946539306
2025/08/04 16:15:23.326,0.622,-1.595,-23.347,23.40968427809312
2025/08/04 16:15:23.426,0.625,-1.602,-23.35,23.41323405683205
2025/08/04 16:15:23.526,0.646,-1.62,-23.365,23.43000087494663
2025/08/04 16:15:23.626,0.636,-1.602,-23.355,23.418516712208742
2025/08/04 16:15:23.726,0.632,-1.603,-23.338,23.40152296326032
2025/08/04 16:15:23.826,0.652,-1.606,-23.351,23.41524163872754
2025/08/04 16:15:23.926,0.658,-1.592,-23.366,23.42941279673906
2025/08/04 16:15:24.026,0.629,-1.568,-23.366,23.426997694967234
2025/08/04 16:15:24.126,0.636,-1.581,-23.371,23.43304713433573
2025/08/04 16:15:24.226,0.629,-1.579,-23.38,23.441699639744552
2025/08/04 16:15:24.326,0.61,-1.563,-23.357,23.41718424576277
2025/08/04 16:15:24.426,0.617,-1.582,-23.369,23.430611899820285
2025/08/04 16:15:24.526,0.644,-1.605,-23.378,23.441878017769824
2025/08/04 16:15:24.626,0.636,-1.553,-22.252,22.315192336164166
2025/08/04 16:15:24.726,0.638,-1.565,-22.214,22.278197076962936
2025/08/04 16:15:24.826,0.608,-1.714,-22.21,22.28433440783009
2025/08/04 16:15:24.926,0.627,-1.674,-22.076,22.148254581343426
2025/08/04 16:15:25.026,0.608,-1.624,-22.126,22.193848607215468
2025/08/04 16:15:25.126,0.6,-1.624,-22.142,22.20958216626328
2025/08/04 16:15:25.226,0.662,-1.661,-22.066,22.138326969308228
2025/08/04 16:15:25.326,0.594,-1.583,-22.099,22.163585585369532
2025/08/04 16:15:25.426,0.646,-1.64,-22.089,22.159215622399632
2025/08/04 16:15:25.526,0.662,-1.618,-22.087,22.156076751085692
2025/08/04 16:15:25.626,0.603,-1.608,-22.1,22.16662520547501
2025/08/04 16:15:25.726,0.622,-1.622,-22.115,22.18312405861717
2025/08/04 16:15:25.826,0.633,-1.602,-22.144,22.21089437640907
2025/08/04 16:15:25.926,0.629,-1.605,-22.102,22.16912424973075
2025/08/04 16:15:26.026,0.657,-1.614,-22.127,22.19551247437193
