Time,GPS_X,GPS_Y,GPS_Z,Target_X,Target_Y,Target_Z
1751180802.8109517,0.0,0.0,-0.492,0.0,0.0,0.0
1751180802.9110134,0.0,0.0,-0.492,0.0,0.0,0.0
1751180803.0110729,0.0,0.0,-0.492,0.0,0.0,0.0
1751180803.1111352,0.0,0.0,-0.492,0.0,0.0,0.0
1751180803.211196,0.0,0.0,-0.492,0.0,0.0,0.0
1751180803.3112586,0.0,0.0,-0.492,0.0,0.0,0.0
1751180803.411319,0.0,0.0,-0.492,0.0,0.0,0.0
1751180803.5113807,0.0,0.0,-0.492,0.0,0.0,0.0
1751180803.6114416,0.0,0.0,-0.492,0.0,0.0,0.0
1751180803.7115033,0.0,0.0,-0.492,0.0,0.0,0.0
1751180803.8115642,0.0,0.0,-0.475,0.0,0.0,0.0
1751180803.911625,0.0,0.0,-0.475,0.0,0.0,0.0
1751180804.0116858,0.0,0.0,-0.475,0.0,0.0,0.0
1751180804.1117463,0.0,0.0,-0.475,0.0,0.0,0.0
1751180804.211808,0.0,0.0,-0.475,0.0,0.0,0.0
1751180804.3118696,0.0,0.0,-0.475,0.0,0.0,0.0
1751180804.41193,0.0,0.0,-0.475,0.0,0.0,0.0
1751180804.511991,0.0,0.0,-0.475,0.0,0.0,0.0
1751180804.6120517,0.0,0.0,-0.475,0.0,0.0,0.0
1751180804.7121124,0.0,0.0,-0.475,0.0,0.0,0.0
1751180804.8121731,0.0,-0.011131950130089052,-0.14900000000000002,0.0,0.0,0.0
1751180804.9122345,0.0,-0.011131950130089052,-0.14900000000000002,0.0,0.0,0.0
1751180805.0122952,0.0,-0.011131950130089052,-0.14900000000000002,0.0,0.0,0.0
1751180805.1123562,0.0,-0.011131950130089052,-0.14900000000000002,0.0,0.0,0.0
1751180805.2124178,0.0,-0.011131950130089052,-0.14900000000000002,0.0,0.0,0.0
1751180805.312479,0.0,-0.011131950130089052,-0.14900000000000002,0.0,0.0,0.0
1751180805.4125395,0.0,-0.011131950130089052,-0.14900000000000002,0.0,0.0,0.0
1751180805.5126014,0.0,-0.011131950130089052,-0.14900000000000002,0.0,0.0,0.0
1751180805.6126623,0.0,-0.011131950130089052,-0.14900000000000002,0.0,0.0,0.0
1751180805.7127235,0.0,-0.011131950130089052,-0.14900000000000002,0.0,0.0,0.0
1751180805.8127854,0.0,-0.011131950130089052,-0.09799999999999998,0.0,0.0,0.0
1751180805.9128473,0.0,-0.011131950130089052,-0.09799999999999998,0.0,0.0,0.0
1751180806.0129082,0.0,-0.011131950130089052,-0.09799999999999998,0.0,0.0,0.0
