Time,GPS_Lat,GPS_Lon,GPS_Alt,N(m),E(m),Target_Alt,Yaw(deg),Local_X(m),Local_Y(m)
2025-06-29T15:08:43.131660+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:43.231814+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:43.331921+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:43.432019+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:43.532108+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:43.632193+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:43.732275+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:43.832366+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:43.932456+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:44.032542+09:00,36.075776,136.2132943,0.524,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:44.132625+09:00,36.075776,136.2132943,0.524,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:44.232706+09:00,36.075776,136.2132943,0.524,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:44.332787+09:00,36.075776,136.2132943,0.524,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:44.432867+09:00,36.075776,136.2132943,0.524,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:44.532947+09:00,36.075776,136.2132943,0.524,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:44.633029+09:00,36.075776,136.2132943,0.524,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:44.733111+09:00,36.075776,136.2132943,0.524,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:44.833190+09:00,36.075776,136.2132943,0.524,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:44.933271+09:00,36.075776,136.2132943,0.524,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:45.033354+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:45.133436+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:45.233516+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:45.333606+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:45.433701+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:45.533788+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:45.633869+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:45.733949+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:45.834029+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:45.934110+09:00,36.075776,136.2132943,0.529,0.0,0.0,0.5,180.0,0.0,0.0
2025-06-29T15:08:46.034192+09:00,36.0757759,136.2132943,0.522,0.0,0.0,0.5,180.0,0.00013833807315677404,-0.011092372238636017
2025-06-29T15:08:46.134272+09:00,36.0757759,136.2132943,0.522,0.0,0.0,0.5,180.0,0.00013833807315677404,-0.011092372238636017
2025-06-29T15:08:46.234362+09:00,36.0757759,136.2132943,0.522,0.0,0.0,0.5,180.0,0.00013833807315677404,-0.011092372238636017
2025-06-29T15:08:46.334441+09:00,36.0757759,136.2132943,0.522,0.0,0.0,0.5,180.0,0.00013833807315677404,-0.011092372238636017
2025-06-29T15:08:46.434521+09:00,36.0757759,136.2132943,0.522,0.0,0.0,0.5,180.0,0.00013833807315677404,-0.011092372238636017
2025-06-29T15:08:46.534603+09:00,36.0757759,136.2132943,0.522,0.0,0.0,0.5,180.0,0.00013833807315677404,-0.011092372238636017
