Time,GPS_Lat,GPS_Lon,GPS_Alt,N(m),E(m),Target_Alt,Target_Yaw(deg),Local_X(m),Local_Y(m),Yaw_Offset(deg),Initial_Yaw(deg)
2025-06-29T15:53:21.831663+09:00,36.0757765,136.2132941,-0.01,0.0,0.0,0.5,184.61533139813972,0.0,0.0,0.0,184.61533139813972
2025-06-29T15:53:21.931815+09:00,36.0757765,136.2132941,-0.01,0.0,0.0,0.5,184.61533139813972,0.0,0.0,0.0,184.61533139813972
2025-06-29T15:53:22.031909+09:00,36.0757765,136.2132941,-0.01,0.0,0.0,0.5,184.61533139813972,0.0,0.0,0.0,184.61533139813972
2025-06-29T15:53:22.131996+09:00,36.0757765,136.2132941,-0.01,0.0,0.0,0.5,184.61533139813972,0.0,0.0,0.0,184.61533139813972
2025-06-29T15:53:22.232077+09:00,36.0757765,136.2132941,-0.01,0.0,0.0,0.5,184.61533139813972,0.0,0.0,0.0,184.61533139813972
2025-06-29T15:53:22.332157+09:00,36.0757765,136.2132941,-0.01,0.0,0.0,0.5,184.61533139813972,0.0,0.0,0.0,184.61533139813972
2025-06-29T15:53:22.432236+09:00,36.0757765,136.2132941,-0.01,0.0,0.0,0.5,184.61533139813972,0.0,0.0,0.0,184.61533139813972
2025-06-29T15:53:22.532324+09:00,36.0757765,136.2132941,-0.01,0.0,0.0,0.5,184.61533139813972,0.0,0.0,0.0,184.61533139813972
2025-06-29T15:53:22.632409+09:00,36.0757765,136.2132941,-0.01,0.0,0.0,0.5,184.61533139813972,0.0,0.0,0.0,184.61533139813972
2025-06-29T15:53:22.732490+09:00,36.0757765,136.2132941,-0.004,0.0,0.0,0.5,184.61533139813972,0.0,0.0,0.0,184.61533139813972
2025-06-29T15:53:22.832570+09:00,36.0757765,136.2132941,-0.004,0.0,0.0,0.5,184.61533139813972,0.0,0.0,0.0,184.61533139813972
2025-06-29T15:53:22.932649+09:00,36.0757765,136.2132941,-0.004,0.0,0.0,0.5,184.61533139813972,0.0,0.0,0.0,184.61533139813972
2025-06-29T15:53:23.032726+09:00,36.0757765,136.2132941,-0.004,0.0,0.0,0.5,184.61533139813972,0.0,0.0,0.0,184.61533139813972
2025-06-29T15:53:23.132804+09:00,36.0757765,136.2132941,-0.004,0.0,0.0,0.5,184.61533139813972,0.0,0.0,0.0,184.61533139813972
2025-06-29T15:53:23.232882+09:00,36.0757765,136.2132941,-0.004,0.0,0.0,0.5,184.61533139813972,0.0,0.0,0.0,184.61533139813972
