Timestamp,Force_X_N,Force_Y_N,Force_Z_N,Force_Magnitude_N,Quat_Q1,Quat_Q2,Quat_Q3,Quat_Q4,Correction_Gain
2025/08/27 19:06:17.194,1.856,0.015,-23.39,23.463526184271625,0.877525,0.010004,0.479394,-0.005465,2.0
2025/08/27 19:06:17.294,1.862,-0.002,-23.384,23.45801577286536,0.87758,-0.001786,0.479424,0.000975,2.0
2025/08/27 19:06:17.394,1.884,0.005,-23.405,23.480704972381048,0.877575,0.003449,0.479421,-0.001884,2.0
2025/08/27 19:06:17.494,1.896,0.016,-23.396,23.47270517004804,0.877524,0.010077,0.479394,-0.005505,2.0
2025/08/27 19:06:17.594,1.851,0.035,-23.365,23.438230543281204,0.877303,0.022127,0.479273,-0.012088,2.0
2025/08/27 19:06:17.694,1.865,0.036,-23.401,23.47522783702003,0.87728,0.023026,0.47926,-0.012579,2.0
2025/08/27 19:06:17.794,1.842,-0.002,-23.375,23.447464532439323,0.87758,-0.001858,0.479424,0.001015,2.0
2025/08/27 19:06:17.894,1.836,0.013,-23.377,23.448991321589933,0.877542,0.008347,0.479403,-0.00456,2.0
2025/08/27 19:06:17.994,1.867,-0.015,-23.398,23.472373505889855,0.877528,-0.009757,0.479395,0.00533,2.0
2025/08/27 19:06:18.094,1.858,-0.01,-23.396,23.469662971589518,0.877557,-0.006655,0.479411,0.003635,2.0
2025/08/27 19:06:18.194,1.85,-0.012,-23.407,23.479997721464965,0.877545,-0.008036,0.479405,0.00439,2.0
2025/08/27 19:06:18.294,1.891,-0.033,-23.414,23.490261088374474,0.877336,-0.020768,0.479291,0.011345,2.0
2025/08/27 19:06:18.394,1.88,0.014,-23.38,23.455468360277948,0.877537,0.008948,0.4794,-0.004888,2.0
2025/08/27 19:06:18.494,1.865,0.006,-23.373,23.447289608822594,0.877573,0.003924,0.47942,-0.002143,2.0
2025/08/27 19:06:18.594,1.867,0.007,-23.4,23.47436342054881,0.87757,0.004568,0.479419,-0.002495,2.0
2025/08/27 19:06:18.694,1.836,-0.001,-23.384,23.45596625594435,0.877582,-0.000595,0.479425,0.000325,2.0
2025/08/27 19:06:18.794,1.822,-0.016,-23.393,23.463852816619866,0.877524,-0.010116,0.479393,0.005526,2.0
2025/08/27 19:06:18.894,1.856,0.003,-23.403,23.476480869159243,0.87758,0.00213,0.479424,-0.001163,2.0
2025/08/27 19:06:18.994,1.83,-0.013,-23.378,23.449519248803377,0.877538,-0.008766,0.479401,0.004788,2.0
2025/08/27 19:06:19.094,1.827,0.005,-23.39,23.461245789599495,0.877576,0.003331,0.479422,-0.00182,2.0
2025/08/27 19:06:19.194,1.885,0.003,-23.402,23.477794572744692,0.877579,0.002363,0.479423,-0.001291,2.0
2025/08/27 19:06:19.294,1.857,0.027,-23.384,23.457634876517282,0.877414,0.017192,0.479333,-0.009392,2.0
2025/08/27 19:06:19.394,1.856,0.025,-23.401,23.47450025027157,0.877442,0.015669,0.479349,-0.00856,2.0
2025/08/27 19:06:19.494,1.869,0.015,-23.408,23.48250093154475,0.877528,0.009772,0.479395,-0.005338,2.0
2025/08/27 19:06:19.594,1.838,0.012,-23.397,23.469085985610942,0.877548,0.007772,0.479406,-0.004245,2.0
2025/08/27 19:06:19.694,1.844,0.004,-23.407,23.479523014746274,0.877577,0.002858,0.479423,-0.001561,2.0
2025/08/27 19:06:19.794,1.862,0.01,-23.423,23.496894965079957,0.877556,0.006766,0.479411,-0.003696,2.0
2025/08/27 19:06:19.894,1.843,-0.001,-23.381,23.45352448993541,0.877581,-0.001244,0.479425,0.000679,2.0
2025/08/27 19:06:19.994,1.849,0.013,-23.412,23.484903959778073,0.877542,0.008429,0.479403,-0.004605,2.0
2025/08/27 19:06:20.094,1.884,0.026,-23.385,23.46078338419244,0.877427,0.01652,0.47934,-0.009025,2.0
2025/08/27 19:06:20.194,1.856,0.027,-23.377,23.450577690112453,0.877413,0.017245,0.479333,-0.009421,2.0
2025/08/27 19:06:20.294,1.859,0.042,-23.39,23.463796474569072,0.877186,0.026355,0.479209,-0.014398,2.0
2025/08/27 19:06:20.394,1.874,0.01,-23.4,23.474922278891572,0.877558,0.006497,0.479412,-0.003549,2.0
2025/08/27 19:06:20.494,1.832,0.034,-23.398,23.469635361462267,0.877314,0.021694,0.479279,-0.011851,2.0
2025/08/27 19:06:20.594,1.86,0.004,-23.388,23.461844769753295,0.877578,0.00273,0.479423,-0.001491,2.0
2025/08/27 19:06:20.694,1.872,0.012,-23.405,23.479747720109774,0.877546,0.007922,0.479406,-0.004327,2.0
2025/08/27 19:06:20.794,1.845,0.019,-23.389,23.461664625511975,0.877494,0.01244,0.479377,-0.006796,2.0
2025/08/27 19:06:20.894,1.871,-0.002,-23.393,23.467703211008956,0.87758,-0.001673,0.479424,0.000914,2.0
2025/08/27 19:06:20.994,1.878,0.032,-23.387,23.462303318301892,0.877349,0.020208,0.479298,-0.011039,2.0
2025/08/27 19:06:21.094,1.854,0.045,-23.358,23.43150667370752,0.877127,0.028273,0.479176,-0.015446,2.0
2025/08/27 19:06:21.194,1.89,0.032,-23.4,23.476224653891858,0.877347,0.020334,0.479296,-0.011109,2.0
2025/08/27 19:06:21.294,1.877,0.027,-23.388,23.463213803739677,0.877415,0.017136,0.479334,-0.009361,2.0
2025/08/27 19:06:21.394,1.83,0.028,-23.381,23.452523211799623,0.877403,0.017743,0.479327,-0.009693,2.0
2025/08/27 19:06:21.494,1.879,0.008,-23.402,23.4773147740537,0.877565,0.005474,0.479416,-0.00299,2.0
2025/08/27 19:06:21.594,1.854,0.001,-23.392,23.46535703968725,0.877582,0.000706,0.479425,-0.000386,2.0
2025/08/27 19:06:21.694,1.862,0.087,-22.303,22.380760085394776,0.875873,0.054739,0.478492,-0.029904,2.0
2025/08/27 19:06:21.794,1.861,-0.051,-22.341,22.418434445785905,0.876995,-0.032084,0.479105,0.017527,2.0
2025/08/27 19:06:21.894,1.814,0.086,-22.272,22.34591631596252,0.875894,0.054405,0.478503,-0.029722,2.0
2025/08/27 19:06:21.994,1.841,0.015,-22.174,22.250298469908216,0.877527,0.009794,0.479395,-0.00535,2.0
