Timestamp,Force_X_N,Force_Y_N,Force_Z_N,Force_Magnitude_N
2025/08/04 15:44:01.664,-0.527,0.014,-23.468,23.47392061416243
2025/08/04 15:44:01.764,-0.53,0.026,-23.472,23.477997359229768
2025/08/04 15:44:01.864,-0.524,0.022,-23.492,23.49785360410606
2025/08/04 15:44:01.964,-0.534,0.019,-23.477,23.483079993901992
2025/08/04 15:44:02.064,-0.529,0.018,-23.46,23.465970361355186
2025/08/04 15:44:02.164,-0.532,0.033,-23.5,23.50604418016779
2025/08/04 15:44:02.264,-0.517,0.027,-23.489,23.49470448845867
2025/08/04 15:44:02.364,-0.528,0.027,-23.472,23.477953424436297
2025/08/04 15:44:02.464,-0.524,0.029,-23.498,23.503859704312397
2025/08/04 15:44:02.564,-0.516,0.016,-23.496,23.501670749119093
2025/08/04 15:44:02.664,-0.529,0.016,-23.465,23.470967640896273
2025/08/04 15:44:02.764,-0.527,0.016,-23.469,23.474921639911816
2025/08/04 15:44:02.864,-0.527,0.023,-23.48,23.485924678411113
2025/08/04 15:44:02.964,-0.532,0.012,-23.444,23.450038464787216
2025/08/04 15:44:03.064,-0.533,0.014,-23.462,23.468057631597887
2025/08/04 15:44:03.164,-0.524,0.011,-23.489,23.494846626441294
2025/08/04 15:44:03.264,-0.524,0.015,-23.457,23.462856816679423
2025/08/04 15:44:03.364,-0.532,0.027,-23.46,23.46604681236275
2025/08/04 15:44:03.464,-0.53,0.026,-23.507,23.512988431928427
2025/08/04 15:44:03.564,-0.518,0.023,-23.483,23.488723720117278
2025/08/04 15:44:03.664,-0.525,0.024,-23.468,23.47388389253044
2025/08/04 15:44:03.764,-0.525,0.021,-23.504,23.50987201156144
2025/08/04 15:44:03.864,-0.524,0.033,-23.49,23.49586697698129
2025/08/04 15:44:03.964,-0.53,0.023,-23.446,23.452000874125858
2025/08/04 15:44:04.064,-0.529,0.031,-23.488,23.493976802576444
2025/08/04 15:44:04.164,-0.521,0.021,-23.484,23.489787951363038
2025/08/04 15:44:04.264,-0.527,0.031,-23.464,23.46993792066779
2025/08/04 15:44:04.364,-0.53,0.016,-23.467,23.472989690280187
2025/08/04 15:44:04.464,-0.522,0.024,-23.498,23.50380956355799
2025/08/04 15:44:04.564,-0.522,0.019,-23.468,23.473812408724747
2025/08/04 15:44:04.664,-0.526,0.031,-23.484,23.489910451085166
2025/08/04 15:44:04.764,-0.522,0.024,-23.508,23.51380709285504
2025/08/04 15:44:04.864,-0.526,0.029,-23.483,23.48890814831545
2025/08/04 15:44:04.964,-0.536,0.015,-23.491,23.497119014892018
2025/08/04 15:44:05.064,-0.519,0.019,-23.51,23.515735625321188
2025/08/04 15:44:05.164,-0.521,0.019,-23.484,23.489786248495324
2025/08/04 15:44:05.264,-0.537,0.019,-23.466,23.472151286151853
2025/08/04 15:44:05.364,-0.523,0.025,-23.49,23.495834822367982
2025/08/04 15:44:05.464,-0.52,0.016,-23.474,23.47976430886818
2025/08/04 15:44:05.564,-0.534,0.02,-23.457,23.46308600759926
2025/08/04 15:44:05.664,-0.526,0.023,-23.49,23.495899748679555
2025/08/04 15:44:05.765,-0.52,0.023,-23.484,23.4897676659434
2025/08/04 15:44:05.864,-0.535,0.017,-23.456,23.462106682904672
2025/08/04 15:44:05.964,-0.526,0.027,-23.489,23.494904256029645
2025/08/04 15:44:06.064,-0.518,0.026,-23.501,23.506722464010164
2025/08/04 15:44:06.164,-0.536,0.013,-23.487,23.493118864893184
2025/08/04 15:44:06.264,-0.531,0.029,-23.492,23.498018341979392
2025/08/04 15:44:06.364,-0.521,0.027,-23.507,23.51278841396741
2025/08/04 15:44:06.464,-0.522,0.011,-23.49,23.495801859055586
2025/08/04 15:44:06.564,-0.53,0.021,-23.481,23.486990058328036
2025/08/04 15:44:06.664,-0.528,0.031,-23.502,23.507950761391346
2025/08/04 15:44:06.764,-0.53,0.017,-23.469,23.474989882851922
2025/08/04 15:44:06.864,-0.53,0.013,-23.473,23.478986306908567
2025/08/04 15:44:06.964,-0.522,0.018,-23.505,23.510802474607285
2025/08/04 15:44:07.064,-0.524,0.016,-23.479,23.484851990165915
2025/08/04 15:44:07.164,-0.529,0.014,-23.469,23.47496534608731
2025/08/04 15:44:07.264,-0.523,0.024,-23.497,23.502832042117817
