Time,GPS_X,GPS_Y,GPS_Z,Target_X,Target_Y,Target_Z
1752660214.8041844,0.0,0.0,0.0,0.0,0.0,0.0
1752660214.904268,0.0,0.0,0.0,0.0,0.0,0.0
1752660215.004328,0.0,0.0,0.0,0.0,0.0,0.0
1752660215.1043873,0.0,0.0,0.0,0.0,0.0,0.0
1752660215.2044466,0.0,0.0,0.0,0.0,0.0,0.0
1752660215.3045046,0.0,0.0,0.0,0.0,0.0,0.0
1752660215.4045632,0.0,0.0,0.0,0.0,0.0,0.0
1752660215.504621,0.0,0.0,0.0,0.0,0.0,0.0
1752660215.6046798,0.0,0.0,0.0,0.0,0.0,0.0
1752660215.7047386,0.0,0.0,0.0,0.0,0.0,0.0
1752660215.8047967,0.0,0.0,0.0,0.0,0.0,0.0
1752660215.9048572,0.0,0.0,0.0,0.0,0.0,0.0
1752660216.0049167,0.0,0.0,0.0,0.0,0.0,0.0
1752660216.1049757,0.0,0.0,0.0,0.0,0.0,0.0
1752660216.2050345,0.0,0.0,0.0,0.0,0.0,0.0
1752660216.3050928,0.0,0.0,0.0,0.0,0.0,0.0
1752660216.4051507,0.0,0.0,0.0,0.0,0.0,0.0
1752660216.50521,0.0,0.0,0.0,0.0,0.0,0.0
1752660216.6052678,0.0,0.0,0.0,0.0,0.0,0.0
1752660216.7053263,0.0,0.0,0.0,0.0,0.0,0.0
1752660216.8053858,0.0,0.0,0.0,0.0,0.0,0.0
1752660216.9054446,0.0,0.0,0.0,0.0,0.0,0.0
1752660217.0055027,0.0,0.0,0.0,0.0,0.0,0.0
1752660217.1055605,0.0,0.0,0.0,0.0,0.0,0.0
1752660217.2056186,0.0,0.0,0.0,0.0,0.0,0.0
1752660217.305677,0.0,0.0,0.0,0.0,0.0,0.0
1752660217.405736,0.0,0.0,0.0,0.0,0.0,0.0
1752660217.5057943,0.0,0.0,0.0,0.0,0.0,0.0
1752660217.605853,0.0,0.0,0.0,0.0,0.0,0.0
1752660217.7059119,0.0,0.0,0.0,0.0,0.0,0.0
1752660217.8059702,0.0,0.0,0.0,0.0,0.0,0.0
1752660217.906029,0.0,0.0,0.0,0.0,0.0,0.0
1752660218.006088,0.0,0.0,0.0,0.0,0.0,0.0
