timestamp,rigid_body_id,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
1780636864682114900,1,-0.3346115052700043,0.1431759148836136,0.0639326199889183,7.002442725934088e-05,0.9999526143074036,-0.0019639297388494015,0.0095361964777112
1780636864682114900,2,-1.280968427658081,0.06482838094234467,0.09850995987653732,0.28140512108802795,0.4900263845920563,0.6307343244552612,-0.5318453907966614
1780636864702378000,1,-0.33458414673805237,0.1431460976600647,0.06394696235656738,3.4237524232594296e-05,0.9999523758888245,-0.0018603781936690211,0.00958113931119442
1780636864702378000,2,-1.2809464931488037,0.06481786072254181,0.09851779043674469,0.28143617510795593,0.48990699648857117,0.6307767033576965,-0.5318887829780579
1780636864708865000,1,-0.33458513021469116,0.1431688815355301,0.06394189596176147,3.6298799386713654e-05,0.9999517202377319,-0.0018615182489156723,0.009649228304624557
1780636864708865000,2,-1.2809514999389648,0.06484957039356232,0.09853556007146835,0.2814117968082428,0.48981982469558716,0.6308241486549377,-0.5319257378578186
1780636864740396100,1,-0.3346021771430969,0.1431756615638733,0.06392896920442581,7.277408440131694e-05,0.9999518394470215,-0.0019590819720178843,0.009615116752684116
1780636864740396100,2,-1.2809581756591797,0.06486302614212036,0.09852530062198639,0.28151413798332214,0.4898272752761841,0.6307928562164307,-0.5319016575813293
1780636864760471300,1,-0.33460038900375366,0.14315330982208252,0.0639306828379631,6.27355620963499e-05,0.999952495098114,-0.00193732138723135,0.009552935138344765
1780636864760471300,2,-1.2809629440307617,0.06484173983335495,0.09851595759391785,0.2815934419631958,0.4899756610393524,0.6307523250579834,-0.5317711234092712
1780636864777252400,1,-0.33459728956222534,0.1431719809770584,0.06393202394247055,8.245906792581081e-05,0.9999527335166931,-0.0019606666173785925,0.009533612988889217
1780636864777252400,2,-1.280967116355896,0.06483916938304901,0.09851671010255814,0.28151199221611023,0.4899437725543976,0.63075190782547,-0.5318440794944763
1780636864790843600,1,-0.33460307121276855,0.143166184425354,0.06393777579069138,0.0001096602572943084,0.9999526739120483,-0.0019271339988335967,0.009537778794765472
1780636864790843600,2,-1.2809638977050781,0.06484773010015488,0.09853202849626541,0.2814289629459381,0.48983582854270935,0.6308552026748657,-0.5318649411201477
1780636864823215300,1,-0.33460038900375366,0.14315269887447357,0.06394551694393158,5.9786802012240514e-05,0.999953031539917,-0.0020291367545723915,0.009478595107793808
1780636864823215300,2,-1.2809433937072754,0.06483908742666245,0.0985267385840416,0.2813788652420044,0.48980623483657837,0.6308450698852539,-0.5319308042526245
1780636864836568600,1,-0.33461567759513855,0.1431620568037033,0.06392746418714523,8.936234371503815e-05,0.999953031539917,-0.0020205751061439514,0.009491345845162868
1780636864836568600,2,-1.2809662818908691,0.06483381241559982,0.09850898385047913,0.28138795495033264,0.4899310767650604,0.6307974457740784,-0.531867504119873
1780636864852390200,1,-0.33462029695510864,0.1431647092103958,0.06392619013786316,9.416149987373501e-05,0.9999527931213379,-0.0019631427712738514,0.00951840914785862
1780636864852390200,2,-1.2809768915176392,0.06484755873680115,0.09850931912660599,0.2814541161060333,0.48999443650245667,0.6307286620140076,-0.5318557024002075
1780636864868279700,1,-0.33460599184036255,0.1431652158498764,0.06393248587846756,7.562862447230145e-05,0.9999529719352722,-0.0019998280331492424,0.00950012169778347
