Timestamp,Force_X_N,Force_Y_N,Force_Z_N,Force_Magnitude_N
2025/07/21 19:00:58.466,-1.199,0.03,-3.911,4.090772787628274
2025/07/21 19:00:58.566,-1.089,-0.005,-3.882,4.031856892301611
2025/07/21 19:00:58.666,-1.16,0.004,-3.894,4.063108662096056
2025/07/21 19:00:58.766,-1.221,0.01,-3.906,4.092404794249953
2025/07/21 19:00:58.866,-1.113,0.0,-3.887,4.043208874149343
2025/07/21 19:00:58.966,-1.075,-0.016,-3.877,4.023308340159874
2025/07/21 19:00:59.066,-1.214,0.006,-3.906,4.090313924382822
2025/07/21 19:00:59.166,-1.183,0.003,-3.899,4.074518253732581
2025/07/21 19:00:59.266,-1.08,-0.024,-3.867,4.015054794146651
2025/07/21 19:00:59.366,-1.217,0.019,-3.91,4.095064102062384
2025/07/21 19:00:59.466,-1.164,0.037,-3.882,4.052923512725105
2025/07/21 19:00:59.566,-0.991,0.033,-3.828,3.954333572171169
2025/07/21 19:00:59.666,-0.987,0.085,-3.861,3.9860651023283604
2025/07/21 19:00:59.766,-0.675,0.031,-3.753,3.813344332734719
2025/07/21 19:00:59.866,-1.356,0.119,-3.92,4.149614078441512
2025/07/21 19:00:59.966,-1.084,0.097,-3.829,3.9806665271032187
2025/07/21 19:01:00.066,-1.915,0.089,-3.634,4.1086618259477135
2025/07/21 19:01:00.166,-3.78,0.069,-3.337,5.0426907499865585
2025/07/21 19:01:00.266,-5.963,-0.3,-3.014,6.688166041599147
2025/07/21 19:01:00.366,-5.062,0.161,-3.251,6.01820288790599
2025/07/21 19:01:00.466,-4.136,-0.008,-3.152,5.200159997538537
2025/07/21 19:01:00.566,-5.21,-0.025,-3.018,6.021050489740142
2025/07/21 19:01:00.666,-4.566,-0.004,-3.129,5.53525184612227
2025/07/21 19:01:00.766,-4.961,0.018,-3.032,5.814195473150177
2025/07/21 19:01:00.866,-4.697,-0.012,-3.041,5.595501228665757
2025/07/21 19:01:00.966,-4.974,0.027,-3.069,5.844669879471381
2025/07/21 19:01:01.066,-4.853,-0.053,-3.052,5.733159861716747
2025/07/21 19:01:01.166,-4.719,0.011,-3.046,5.61668923833249
2025/07/21 19:01:01.266,-4.73,0.005,-3.057,5.631889025895308
2025/07/21 19:01:01.366,-4.798,-0.036,-3.064,5.69299534515882
2025/07/21 19:01:01.466,-4.745,0.003,-3.035,5.632606767740848
2025/07/21 19:01:01.566,-4.759,0.007,-3.044,5.64925357901378
2025/07/21 19:01:01.666,-4.836,-0.024,-3.07,5.728208445927924
2025/07/21 19:01:01.766,-4.839,-0.019,-3.051,5.720566667734937
2025/07/21 19:01:01.866,-4.748,0.01,-3.033,5.634065406081119
2025/07/21 19:01:01.966,-4.762,-0.001,-3.075,5.66853332000439
2025/07/21 19:01:02.066,-4.812,-0.011,-3.082,5.714384393790813
2025/07/21 19:01:02.166,-4.747,-0.006,-3.044,5.63914718729703
2025/07/21 19:01:02.266,-4.78,0.016,-3.053,5.67181320214268
2025/07/21 19:01:02.366,-4.834,-0.024,-3.072,5.7275925134387835
2025/07/21 19:01:02.466,-4.844,-0.031,-3.043,5.720589654921947
2025/07/21 19:01:02.566,-4.736,0.024,-3.051,5.633726386682264
2025/07/21 19:01:02.666,-4.596,-0.009,-3.092,5.539292463844096
2025/07/21 19:01:02.766,-4.715,-0.017,-3.084,5.634054490329322
2025/07/21 19:01:02.866,-4.751,-0.0,-3.035,5.637661394585525
2025/07/21 19:01:02.966,-4.791,0.012,-3.07,5.690230663162962
2025/07/21 19:01:03.066,-4.783,-0.021,-3.075,5.686225021927993
2025/07/21 19:01:03.166,-4.754,-0.021,-3.036,5.640767057767941
2025/07/21 19:01:03.266,-4.678,0.026,-3.047,5.582881782735507
2025/07/21 19:01:03.366,-4.734,-0.018,-3.086,5.651059723627065
2025/07/21 19:01:03.466,-4.78,-0.009,-3.06,5.675568782069336
2025/07/21 19:01:03.566,-4.746,-0.005,-3.052,5.642627490806034
2025/07/21 19:01:03.666,-4.756,0.002,-3.079,5.6656668627797035
2025/07/21 19:01:03.766,-4.75,-0.028,-3.096,5.669964726521674
2025/07/21 19:01:03.866,-4.771,-0.001,-3.048,5.661514461696623
2025/07/21 19:01:03.966,-4.683,0.019,-3.066,5.597428516738735
2025/07/21 19:01:04.066,-4.676,-0.02,-3.096,5.60808273833402
2025/07/21 19:01:04.166,-4.714,0.0,-3.081,5.63155014183484
2025/07/21 19:01:04.266,-4.691,0.017,-3.071,5.606853930681626
2025/07/21 19:01:04.366,-4.702,-0.003,-3.105,5.634699459598533
2025/07/21 19:01:04.466,-4.689,-0.006,-3.136,5.641032972780783
2025/07/21 19:01:04.566,-4.715,0.029,-3.161,5.676617566826217
2025/07/21 19:01:04.666,-4.37,0.011,-3.185,5.407517545047821
2025/07/21 19:01:04.766,-4.399,-0.056,-3.269,5.480939518002366
2025/07/21 19:01:04.866,-4.03,-0.083,-3.312,5.217004216981237
2025/07/21 19:01:04.966,-3.553,0.004,-3.443,4.947532112073655
2025/07/21 19:01:05.066,-3.07,0.023,-3.537,4.683566803196043
2025/07/21 19:01:05.166,-3.137,0.015,-3.576,4.7569706747046485
2025/07/21 19:01:05.266,-2.981,0.089,-3.599,4.674086327829215
2025/07/21 19:01:05.366,-2.657,0.066,-3.686,4.544293234376497
2025/07/21 19:01:05.466,-2.416,-0.06,-3.713,4.430239835494237
2025/07/21 19:01:05.566,-2.638,-0.022,-3.666,4.516534512211768
2025/07/21 19:01:05.666,-2.815,0.024,-3.745,4.685064140436073
2025/07/21 19:01:05.766,-2.411,-0.007,-3.769,4.474184953709447
2025/07/21 19:01:05.866,-2.016,0.024,-3.771,4.276128272163968
2025/07/21 19:01:05.966,-1.667,0.017,-3.809,4.157843070631695
2025/07/21 19:01:06.066,-1.327,0.006,-3.854,4.0760619475174815
2025/07/21 19:01:06.166,-1.519,-0.019,-3.878,4.164925689613201
2025/07/21 19:01:06.266,-1.397,-0.156,-3.884,4.130544879310719
2025/07/21 19:01:06.366,-1.087,0.014,-3.843,3.993796940256227
2025/07/21 19:01:06.466,-1.26,-0.038,-3.893,4.0920035434979765
2025/07/21 19:01:06.566,-1.334,0.012,-3.902,4.123748779933133
2025/07/21 19:01:06.666,-1.245,0.009,-3.866,4.061534439100573
2025/07/21 19:01:06.766,-1.146,0.004,-3.903,4.067768552904651
2025/07/21 19:01:06.866,-1.256,0.01,-3.912,4.108695656774787
2025/07/21 19:01:06.966,-1.18,0.017,-3.877,4.05263099726585
2025/07/21 19:01:07.066,-1.085,-0.014,-3.855,4.004802866559102
2025/07/21 19:01:07.166,-1.245,0.001,-3.913,4.106287252494642
2025/07/21 19:01:07.266,-1.265,0.018,-3.907,4.106725946541843
2025/07/21 19:01:07.366,-1.097,-0.006,-3.861,4.0138218694904735
2025/07/21 19:01:07.466,-1.151,-0.0,-3.881,4.048081273887667
2025/07/21 19:01:07.566,-1.28,0.009,-3.921,4.124648106202516
2025/07/21 19:01:07.666,-1.139,-0.008,-3.873,4.037017958840411
2025/07/21 19:01:07.766,-1.069,-0.026,-3.854,3.999594104406096
2025/07/21 19:01:07.866,-1.343,0.014,-3.935,4.157892495002727
2025/07/21 19:01:07.966,-1.186,-0.005,-3.887,4.063913138835524
2025/07/21 19:01:08.066,-1.683,0.137,-4.188,4.515595420318344
2025/07/21 19:01:08.166,-0.958,0.183,-4.09,4.20468227099266
2025/07/21 19:01:08.266,-0.702,-0.151,-3.959,4.023591182016384
2025/07/21 19:01:08.366,-0.49,0.191,-3.919,3.9541297399048503
2025/07/21 19:01:08.466,-0.735,0.001,-3.957,4.024683217347671
