Timestamp,Force_X_N,Force_Y_N,Force_Z_N,Force_Magnitude_N,Quat_Q1,Quat_Q2,Quat_Q3,Quat_Q4
2025/08/09 18:04:16.825,-0.043,0.04,-23.506,23.50607336413294,0.999979,-0.004315,-0.004674,-2e-05
2025/08/09 18:04:16.924,-0.054,0.071,-23.543,23.543168988052564,0.999954,-0.007636,-0.005788,-4.4e-05
2025/08/09 18:04:17.024,-0.083,-0.03,-23.551,23.55116536394749,0.999954,0.003282,-0.008965,2.9e-05
2025/08/09 18:04:17.124,-0.056,0.005,-23.509,23.509067229475523,0.999981,-0.000583,-0.006099,-3e-06
2025/08/09 18:04:17.224,-0.038,0.088,-23.534,23.534195206125066,0.999946,-0.009523,-0.004102,-3.9e-05
2025/08/09 18:04:17.324,-0.059,-0.005,-23.568,23.568074380398585,0.999979,0.000544,-0.00642,3e-06
2025/08/09 18:04:17.424,-0.057,-0.038,-23.521,23.52109976170332,0.999972,0.004118,-0.0062,2.5e-05
2025/08/09 18:04:17.524,-0.021,0.064,-23.514,23.514096474242848,0.999973,-0.006865,-0.0023,-1.5e-05
2025/08/09 18:04:17.624,-0.034,0.036,-23.55,23.550052059390442,0.999985,-0.003882,-0.003717,-1.4e-05
2025/08/09 18:04:17.725,-0.053,-0.048,-23.546,23.546108574454504,0.999969,0.005228,-0.005756,3e-05
2025/08/09 18:04:17.825,-0.029,0.023,-23.493,23.493029157603324,0.999991,-0.002537,-0.003198,-8e-06
2025/08/09 18:04:17.925,-0.029,0.079,-23.524,23.52415052663964,0.999958,-0.008554,-0.00316,-2.7e-05
2025/08/09 18:04:18.024,-0.056,-0.018,-23.545,23.545073476207293,0.999979,0.001991,-0.006035,1.2e-05
2025/08/09 18:04:18.124,-0.039,-0.016,-23.515,23.515037784362583,0.999989,0.001724,-0.004209,7e-06
2025/08/09 18:04:18.224,-0.029,0.078,-23.506,23.506147302354762,0.999959,-0.008451,-0.003199,-2.7e-05
2025/08/09 18:04:18.324,-0.037,0.016,-23.546,23.546034506897332,0.99999,-0.001736,-0.004032,-7e-06
2025/08/09 18:04:18.424,-0.051,-0.056,-23.523,23.523121944163787,0.999966,0.006027,-0.005516,3.3e-05
2025/08/09 18:04:18.524,-0.023,0.044,-23.501,23.50105244451831,0.999985,-0.004786,-0.002509,-1.2e-05
2025/08/09 18:04:18.624,-0.029,0.057,-23.536,23.53608688801093,0.999976,-0.006153,-0.003115,-1.9e-05
2025/08/09 18:04:18.724,-0.048,-0.038,-23.539,23.539079612423254,0.999977,0.004139,-0.005239,2.1e-05
2025/08/09 18:04:18.824,-0.042,0.009,-23.493,23.49303926698289,0.999988,-0.001,-0.004601,-4e-06
2025/08/09 18:04:18.924,-0.021,0.077,-23.524,23.52413539325091,0.999963,-0.00829,-0.002333,-1.9e-05
2025/08/09 18:04:19.024,-0.044,-0.01,-23.554,23.554043219795616,0.999987,0.001175,-0.004793,5e-06
2025/08/09 18:04:19.124,-0.046,-0.03,-23.519,23.519064118284977,0.999982,0.003307,-0.004977,1.6e-05
2025/08/09 18:04:19.225,-0.016,0.061,-23.51,23.510084580877205,0.999976,-0.006626,-0.001789,-1.1e-05
2025/08/09 18:04:19.359,-0.024,0.009,-23.505,23.505013975745687,0.999995,-0.001049,-0.002672,-2e-06
2025/08/09 18:04:19.456,-0.019,0.076,-23.52,23.52013046307354,0.999964,-0.008191,-0.002135,-1.7e-05
2025/08/09 18:04:19.553,-0.043,-0.019,-23.55,23.550046921396994,0.999987,0.002121,-0.004624,9e-06
2025/08/09 18:04:19.653,-0.026,-0.036,-23.515,23.51504193064516,0.999988,0.003949,-0.002845,1.1e-05
2025/08/09 18:04:19.753,-0.006,0.067,-23.504,23.504096260013913,0.999973,-0.007195,-0.000719,-5e-06
2025/08/09 18:04:19.853,-0.035,0.03,-23.553,23.553045110982996,0.999987,-0.003311,-0.003855,-1.2e-05
2025/08/09 18:04:19.953,-0.052,-0.053,-23.543,23.543117083343063,0.999967,0.005768,-0.00563,3.2e-05
2025/08/09 18:04:20.053,-0.03,0.038,-23.506,23.506049859557432,0.999986,-0.004085,-0.003222,-1.3e-05
2025/08/09 18:04:20.153,-0.035,0.078,-23.533,23.533155292055504,0.999957,-0.00837,-0.003832,-3.2e-05
2025/08/09 18:04:20.253,-0.058,-0.033,-23.547,23.547094555379864,0.999973,0.003633,-0.006307,2.2e-05
2025/08/09 18:04:20.353,-0.035,-0.007,-23.501,23.501027105213932,0.999992,0.000751,-0.003793,2e-06
2025/08/09 18:04:20.453,-0.017,0.082,-23.52,23.520149085411852,0.999959,-0.0088,-0.001887,-1.6e-05
2025/08/09 18:04:20.553,-0.031,-0.011,-23.565,23.565022957765184,0.999993,0.001282,-0.003349,4e-06
