Time,GPS_X,GPS_Y,GPS_Z,Target_X,Target_Y,Target_Z
1752664426.7373176,0.0,0.0,0.0,0.0,0.0,0.0
1752664426.8374345,0.0,0.0,0.0,0.0,0.0,0.0
1752664426.9374936,0.0,0.0,0.0,0.0,0.0,0.0
1752664427.037552,0.0,0.0,0.0,0.0,0.0,0.0
1752664427.1376104,0.0,0.0,0.0,0.0,0.0,0.0
1752664427.2376688,0.0,0.0,0.0,0.0,0.0,0.0
1752664427.3377278,0.0,0.0,0.0,0.0,0.0,0.0
1752664427.437786,0.0,0.0,0.0,0.0,0.0,0.0
1752664427.5378444,0.0,0.0,0.0,0.0,0.0,0.0
1752664427.6379032,0.0,0.0,0.0,0.0,0.0,0.0
1752664427.7379615,0.0,0.0,0.0,0.0,0.0,0.0
1752664427.8380198,0.0,0.0,0.0,0.0,0.0,0.0
1752664427.9380784,0.0,0.0,0.0,0.0,0.0,0.0
1752664428.038138,0.0,0.0,0.0,0.0,0.0,0.0
1752664428.1381967,0.0,0.0,0.0,0.0,0.0,0.0
1752664428.2382553,0.0,0.0,0.0,0.0,0.0,0.0
1752664428.3383138,0.0,0.0,0.0,0.0,0.0,0.0
1752664428.4383721,0.0,0.0,0.0,0.0,0.0,0.0
1752664428.5384307,0.0,0.0,0.0,0.0,0.0,0.0
1752664428.6384873,0.0,0.0,0.0,0.0,0.0,0.0
1752664428.7385452,0.0,0.0,0.0,0.0,0.0,0.0
1752664428.8386047,0.0,0.0,0.0,0.0,0.0,0.0
1752664428.9386616,0.0,0.0,0.0,0.0,0.0,0.0
1752664429.0387173,0.0,0.0,0.0,0.0,0.0,0.0
1752664429.1387722,0.0,0.0,0.0,0.0,0.0,0.0
1752664429.2388275,0.0,0.0,0.0,0.0,0.0,0.0
1752664429.3388832,0.0,0.0,0.0,0.0,0.0,0.0
1752664429.4389384,0.0,0.0,0.0,0.0,0.0,0.0
1752664429.5389936,0.0,0.0,0.0,0.0,0.0,0.0
1752664429.639049,0.0,0.0,0.0,0.0,0.0,0.0
1752664429.7391038,0.0,0.0,0.0,0.0,0.0,0.0
1752664429.8391626,0.323901889893575,-0.42301410019754826,-0.006,0.0,0.0,0.0
1752664429.939219,0.323901889893575,-0.42301410019754826,-0.006,0.0,0.0,0.0
1752664430.039275,0.323901889893575,-0.42301410019754826,-0.006,0.0,0.0,0.0
