Time,GPS_X,GPS_Y,GPS_Z,Target_X,Target_Y,Target_Z
1751182781.8638794,0.0,0.0,0.002,0.0,0.0,0.0
1751182781.963937,0.0,0.0,0.002,0.0,0.0,0.0
1751182782.0639946,0.0,0.0,0.002,0.0,0.0,0.0
1751182782.164052,0.0,0.0,0.002,0.0,0.0,0.0
1751182782.2641094,0.0,0.0,0.002,0.0,0.0,0.0
1751182782.3641706,0.0,0.0,0.002,0.0,0.0,0.0
1751182782.464232,0.0,0.0,0.002,0.0,0.0,0.0
1751182782.5642931,0.0,0.0,0.002,0.0,0.0,0.0
1751182782.6643548,0.0,0.0,0.002,0.0,0.0,0.0
1751182782.764416,0.0,0.0,0.002,0.0,0.0,0.0
1751182782.8644776,0.008997274656787426,0.0,0.014,0.0,0.0,0.0
1751182782.964539,0.008997274656787426,0.0,0.014,0.0,0.0,0.0
1751182783.0646014,0.008997274656787426,0.0,0.014,0.0,0.0,0.0
1751182783.1646638,0.008997274656787426,0.0,0.014,0.0,0.0,0.0
1751182783.2647266,0.008997274656787426,0.0,0.014,0.0,0.0,0.0
1751182783.364788,0.008997274656787426,0.0,0.014,0.0,0.0,0.0
1751182783.4648595,0.008997274656787426,0.0,0.014,0.0,0.0,0.0
1751182783.564921,0.008997274656787426,0.0,0.014,0.0,0.0,0.0
1751182783.6649826,0.008997274656787426,0.0,0.014,0.0,0.0,0.0
1751182783.7650452,0.008997274656787426,0.0,0.014,0.0,0.0,0.0
1751182783.865108,0.008997274656787426,0.0,0.377,0.0,0.0,0.0
1751182783.96517,0.008997274656787426,0.0,0.377,0.0,0.0,0.0
1751182784.065231,0.008997274656787426,0.0,0.377,0.0,0.0,0.0
1751182784.1652923,0.008997274656787426,0.0,0.377,0.0,0.0,0.0
1751182784.2653537,0.008997274656787426,0.0,0.377,0.0,0.0,0.0
1751182784.3654156,0.008997274656787426,0.0,0.377,0.0,0.0,0.0
1751182784.4654775,0.008997274656787426,0.0,0.377,0.0,0.0,0.0
1751182784.5655384,0.008997274656787426,0.0,0.377,0.0,0.0,0.0
1751182784.6656,0.008997274656787426,0.0,0.377,0.0,0.0,0.0
1751182784.7656608,0.008997274656787426,0.0,0.377,0.0,0.0,0.0
1751182784.8657231,0.0,0.0,0.501,0.0,0.0,0.0
1751182784.9657853,0.0,0.0,0.501,0.0,0.0,0.0
1751182785.0658467,0.0,0.0,0.501,0.0,0.0,0.0
1751182785.1659086,0.0,0.0,0.501,0.0,0.0,0.0
1751182785.2659702,0.0,0.0,0.501,0.0,0.0,0.0
1751182785.3660316,0.0,0.0,0.501,0.0,0.0,0.0
1751182785.4660933,0.0,0.0,0.501,0.0,0.0,0.0
1751182785.5661547,0.0,0.0,0.501,0.0,0.0,0.0
1751182785.6662164,0.0,0.0,0.501,0.0,0.0,0.0
1751182785.766279,0.0,0.0,0.501,0.0,0.0,0.0
1751182785.8662975,0.0,0.011131950130089052,0.532,0.0,0.0,0.0
1751182785.9663591,0.0,0.011131950130089052,0.532,0.0,0.0,0.0
1751182786.0664194,0.0,0.011131950130089052,0.532,0.0,0.0,0.0
1751182786.1664817,0.0,0.011131950130089052,0.532,0.0,0.0,0.0
1751182786.2665424,0.0,0.011131950130089052,0.532,0.0,0.0,0.0
1751182786.3666024,0.0,0.011131950130089052,0.532,0.0,0.0,0.0
1751182786.466663,0.0,0.011131950130089052,0.532,0.0,0.0,0.0
1751182786.5667233,0.0,0.011131950130089052,0.532,0.0,0.0,0.0
1751182786.6667852,0.0,0.011131950130089052,0.532,0.0,0.0,0.0
1751182786.766847,0.0,0.011131950130089052,0.532,0.0,0.0,0.0
1751182786.8669093,0.0,0.022263900260178104,0.531,0.0,0.0,0.0
1751182786.9669716,0.0,0.022263900260178104,0.531,0.0,0.0,0.0
1751182787.0670338,0.0,0.022263900260178104,0.531,0.0,0.0,0.0
1751182787.1670947,0.0,0.022263900260178104,0.531,0.0,0.0,0.0
1751182787.2671564,0.0,0.022263900260178104,0.531,0.0,0.0,0.0
1751182787.3672173,0.0,0.022263900260178104,0.531,0.0,0.0,0.0
1751182787.467278,0.0,0.022263900260178104,0.531,0.0,0.0,0.0
1751182787.5673401,0.0,0.022263900260178104,0.531,0.0,0.0,0.0
1751182787.667401,0.0,0.022263900260178104,0.531,0.0,0.0,0.0
1751182787.7674644,0.0,0.022263900260178104,0.531,0.0,0.0,0.0
1751182787.8675263,-0.008997274656787426,0.0,0.517,0.0,0.0,0.0
1751182787.9675872,-0.008997274656787426,0.0,0.517,0.0,0.0,0.0
1751182788.067648,-0.008997274656787426,0.0,0.517,0.0,0.0,0.0
1751182788.1677086,-0.008997274656787426,0.0,0.517,0.0,0.0,0.0
1751182788.267769,-0.008997274656787426,0.0,0.517,0.0,0.0,0.0
1751182788.3678312,-0.008997274656787426,0.0,0.517,0.0,0.0,0.0
1751182788.4678917,-0.008997274656787426,0.0,0.517,0.0,0.0,0.0
1751182788.5679524,-0.008997274656787426,0.0,0.517,0.0,0.0,0.0
1751182788.668013,-0.008997274656787426,0.0,0.517,0.0,0.0,0.0
1751182788.768076,-0.008997274656787426,0.0,0.517,0.0,0.0,0.0
1751182788.8681386,0.0,0.0,0.513,0.0,0.0,0.0
1751182788.9681997,0.0,0.0,0.513,0.0,0.0,0.0
1751182789.0682619,0.0,0.0,0.513,0.0,0.0,0.0
1751182789.1683226,0.0,0.0,0.513,0.0,0.0,0.0
1751182789.268383,0.0,0.0,0.513,0.0,0.0,0.0
1751182789.3684435,0.0,0.0,0.513,0.0,0.0,0.0
1751182789.4685044,0.0,0.0,0.513,0.0,0.0,0.0
1751182789.5685658,0.0,0.0,0.513,0.0,0.0,0.0
1751182789.6686265,0.0,0.0,0.513,0.0,0.0,0.0
1751182789.768689,0.0,0.0,0.513,0.0,0.0,0.0
1751182789.8687508,0.0,0.0,0.498,0.0,0.0,0.0
1751182789.9688118,0.0,0.0,0.498,0.0,0.0,0.0
1751182790.0688727,0.0,0.0,0.498,0.0,0.0,0.0
