Time,GPS_X,GPS_Y,GPS_Z,Target_X,Target_Y,Target_Z
1751278654.1786268,0.0,0.0,-0.005000000000000001,0.0,0.0,0.0
1751278654.278689,0.0,0.0,-0.005000000000000001,0.0,0.0,0.0
1751278654.3787503,0.0,0.0,-0.005000000000000001,0.0,0.0,0.0
1751278654.4788108,0.0,0.0,-0.005000000000000001,0.0,0.0,0.0
1751278654.5788717,0.0,0.0,-0.005000000000000001,0.0,0.0,0.0
1751278654.6789331,0.0,0.0,-0.005000000000000001,0.0,0.0,0.0
1751278654.7789943,0.0,0.0,-0.005000000000000001,0.0,0.0,0.0
1751278654.8790548,0.0,0.0,-0.005000000000000001,0.0,0.0,0.0
1751278654.979116,0.0,0.0,-0.005000000000000001,0.0,0.0,0.0
1751278655.0791793,0.0,0.0,-0.005000000000000001,0.0,0.0,0.0
1751278655.1792412,0.008997274405089623,-0.03339585039026716,0.066,0.0,0.0,0.0
1751278655.2793024,0.008997274405089623,-0.03339585039026716,0.066,0.0,0.0,0.0
1751278655.3793635,0.008997274405089623,-0.03339585039026716,0.066,0.0,0.0,0.0
1751278655.4794264,0.008997274405089623,-0.03339585039026716,0.066,0.0,0.0,0.0
1751278655.5794873,0.008997274405089623,-0.03339585039026716,0.066,0.0,0.0,0.0
1751278655.6795487,0.008997274405089623,-0.03339585039026716,0.066,0.0,0.0,0.0
1751278655.7796109,0.008997274405089623,-0.03339585039026716,0.066,0.0,0.0,0.0
1751278655.8796728,0.008997274405089623,-0.03339585039026716,0.066,0.0,0.0,0.0
1751278655.9797344,0.008997274405089623,-0.03339585039026716,0.066,0.0,0.0,0.0
1751278656.0797951,0.008997274405089623,-0.03339585039026716,0.066,0.0,0.0,0.0
1751278656.1798565,0.008997274359326384,0.011131950130089052,0.514,0.0,0.0,0.5
1751278656.2799175,0.008997274359326384,0.011131950130089052,0.514,0.0,0.0,0.5
1751278656.3799784,0.008997274359326384,0.011131950130089052,0.514,0.0,0.0,0.5
1751278656.4800391,0.008997274359326384,0.011131950130089052,0.514,0.0,0.0,0.5
1751278656.5801,0.008997274359326384,0.011131950130089052,0.514,0.0,0.0,0.5
1751278656.6801608,0.008997274359326384,0.011131950130089052,0.514,0.0,0.0,0.5
1751278656.7802217,0.008997274359326384,0.011131950130089052,0.514,0.0,0.0,0.5
1751278656.8802826,0.008997274359326384,0.011131950130089052,0.514,0.0,0.0,0.5
1751278656.980344,0.008997274359326384,0.011131950130089052,0.514,0.0,0.0,0.5
1751278657.080406,0.008997274359326384,0.011131950130089052,0.514,0.0,0.0,0.5
1751278657.1804671,0.0,0.011131950130089052,0.475,0.0,0.0,0.5
1751278657.2805283,0.0,0.011131950130089052,0.475,0.0,0.0,0.5
1751278657.3805895,0.0,0.011131950130089052,0.475,0.0,0.0,0.5
1751278657.4806507,0.0,0.011131950130089052,0.475,0.0,0.0,0.5
1751278657.5807116,0.0,0.011131950130089052,0.475,0.0,0.0,0.5
1751278657.680772,0.0,0.011131950130089052,0.475,0.0,0.0,0.5
1751278657.780833,0.0,0.011131950130089052,0.475,0.0,0.0,0.5
1751278657.8808942,0.0,0.011131950130089052,0.475,0.0,0.0,0.5
1751278657.9809556,0.0,0.011131950130089052,0.475,0.0,0.0,0.5
1751278658.081017,0.0,0.011131950130089052,0.475,0.0,0.0,0.5
1751278658.1810782,0.0,0.022263900260178104,0.525,0.0,0.0,0.5
1751278658.2811399,0.0,0.022263900260178104,0.525,0.0,0.0,0.5
1751278658.3812013,0.0,0.022263900260178104,0.525,0.0,0.0,0.5
1751278658.481262,0.0,0.022263900260178104,0.525,0.0,0.0,0.5
1751278658.5813231,0.0,0.022263900260178104,0.525,0.0,0.0,0.5
1751278658.6813846,0.0,0.022263900260178104,0.525,-0.4858528441504011,0.14471535010921244,0.7
1751278658.7814808,0.0,0.022263900260178104,0.525,-0.4858528441504011,0.14471535010921244,0.7
1751278658.8815415,0.0,0.022263900260178104,0.525,-0.4858528441504011,0.14471535010921244,0.7
1751278658.981603,0.0,0.022263900260178104,0.525,-0.4858528441504011,0.14471535010921244,0.7
1751278659.0816646,0.0,0.022263900260178104,0.525,-0.4858528441504011,0.14471535010921244,0.7
1751278659.1817255,-0.01799454867288953,0.033395849599294536,0.529,-0.4858528441504011,0.14471535010921244,0.7
1751278659.2817867,-0.01799454867288953,0.033395849599294536,0.529,-0.4858528441504011,0.14471535010921244,0.7
1751278659.3818479,-0.01799454867288953,0.033395849599294536,0.529,-0.4858528441504011,0.14471535010921244,0.7
1751278659.4819095,-0.01799454867288953,0.033395849599294536,0.529,-0.4858528441504011,0.14471535010921244,0.7
1751278659.5819707,-0.01799454867288953,0.033395849599294536,0.529,-0.4858528441504011,0.14471535010921244,0.7
1751278659.6820314,-0.01799454867288953,0.033395849599294536,0.529,-0.4858528441504011,0.14471535010921244,0.7
1751278659.7820923,-0.01799454867288953,0.033395849599294536,0.529,-0.4858528441504011,0.14471535010921244,0.7
1751278659.8821533,-0.01799454867288953,0.033395849599294536,0.529,-0.4858528441504011,0.14471535010921244,0.7
1751278659.982215,-0.01799454867288953,0.033395849599294536,0.529,-0.4858528441504011,0.14471535010921244,0.7
1751278660.0822766,-0.01799454867288953,0.033395849599294536,0.529,-0.4858528441504011,0.14471535010921244,0.7
1751278660.1823382,-0.16195094828472306,0.033395849599294536,0.731,-0.4858528441504011,0.14471535010921244,0.7
1751278660.2823997,-0.16195094828472306,0.033395849599294536,0.731,-0.4858528441504011,0.14471535010921244,0.7
1751278660.382461,-0.16195094828472306,0.033395849599294536,0.731,-0.4858528441504011,0.14471535010921244,0.7
1751278660.482522,-0.16195094828472306,0.033395849599294536,0.731,-0.4858528441504011,0.14471535010921244,0.7
1751278660.5825837,-0.16195094828472306,0.033395849599294536,0.731,-0.4858528441504011,0.14471535010921244,0.7
1751278660.6826463,-0.16195094828472306,0.033395849599294536,0.731,-0.4858528441504011,0.14471535010921244,0.7
1751278660.7827077,-0.16195094828472306,0.033395849599294536,0.731,-0.4858528441504011,0.14471535010921244,0.7
1751278660.8827689,-0.16195094828472306,0.033395849599294536,0.731,-0.4858528441504011,0.14471535010921244,0.7
1751278660.9828308,-0.16195094828472306,0.033395849599294536,0.731,-0.4858528441504011,0.14471535010921244,0.7
1751278661.0828943,-0.16195094828472306,0.033395849599294536,0.731,-0.4858528441504011,0.14471535010921244,0.7
1751278661.1829572,-0.3239018931885284,0.05565974985947264,0.6869999999999999,-0.4858528441504011,0.14471535010921244,0.7
1751278661.2830188,-0.3239018931885284,0.05565974985947264,0.6869999999999999,-0.4858528441504011,0.14471535010921244,0.7
1751278661.3830805,-0.3239018931885284,0.05565974985947264,0.6869999999999999,-0.4858528441504011,0.14471535010921244,0.7
1751278661.4831421,-0.3239018931885284,0.05565974985947264,0.6869999999999999,-0.4858528441504011,0.14471535010921244,0.7
1751278661.583203,-0.3239018931885284,0.05565974985947264,0.6869999999999999,-0.4858528441504011,0.14471535010921244,0.7
1751278661.6832643,-0.3239018931885284,0.05565974985947264,0.6869999999999999,-0.4858528441504011,0.14471535010921244,0.7
1751278661.7833257,-0.3239018931885284,0.05565974985947264,0.6869999999999999,-0.4858528441504011,0.14471535010921244,0.7
1751278661.8833876,-0.3239018931885284,0.05565974985947264,0.6869999999999999,-0.4858528441504011,0.14471535010921244,0.7
1751278661.9834487,-0.3239018931885284,0.05565974985947264,0.6869999999999999,-0.4858528441504011,0.14471535010921244,0.7
1751278662.0835109,-0.3239018931885284,0.05565974985947264,0.6869999999999999,-0.4858528441504011,0.14471535010921244,0.7
1751278662.183574,-0.4588610132295882,0.10018754958885623,0.716,-0.4858528441504011,0.14471535010921244,0.7
1751278662.283642,-0.4588610132295882,0.10018754958885623,0.716,-0.4858528441504011,0.14471535010921244,0.7
1751278662.383761,-0.4588610132295882,0.10018754958885623,0.716,-0.4858528441504011,0.14471535010921244,0.7
1751278662.4838219,-0.4588610132295882,0.10018754958885623,0.716,-0.4858528441504011,0.14471535010921244,0.7
1751278662.5838835,-0.4588610132295882,0.10018754958885623,0.716,-0.4858528441504011,0.14471535010921244,0.7
1751278662.683945,-0.4588610132295882,0.10018754958885623,0.716,-0.4858528441504011,0.14471535010921244,0.7
1751278662.7840064,-0.4588610132295882,0.10018754958885623,0.716,-0.4858528441504011,0.14471535010921244,0.7
1751278662.8840675,-0.4588610132295882,0.10018754958885623,0.716,-0.4858528441504011,0.14471535010921244,0.7
1751278662.9841368,-0.4588610132295882,0.10018754958885623,0.716,-0.4858528441504011,0.14471535010921244,0.7
1751278663.0841994,-0.4588610132295882,0.10018754958885623,0.716,-0.4858528441504011,0.14471535010921244,0.7
1751278663.1842613,-0.521841935564278,0.14471535010921244,0.702,-0.4858528441504011,0.14471535010921244,0.7
1751278663.2843237,-0.521841935564278,0.14471535010921244,0.702,-0.4858528441504011,0.14471535010921244,0.7
1751278663.3843853,-0.521841935564278,0.14471535010921244,0.702,-0.4858528441504011,0.14471535010921244,0.7
1751278663.484448,-0.521841935564278,0.14471535010921244,0.702,-0.4858528441504011,0.14471535010921244,0.7
1751278663.5845094,-0.521841935564278,0.14471535010921244,0.702,-0.4858528441504011,0.14471535010921244,0.7
1751278663.684571,-0.521841935564278,0.14471535010921244,0.702,-0.4858528441504011,0.14471535010921244,0.7
1751278663.7846327,-0.521841935564278,0.14471535010921244,0.702,-0.4858528441504011,0.14471535010921244,0.7
1751278663.8846943,-0.521841935564278,0.14471535010921244,0.702,-0.4858528441504011,0.14471535010921244,0.7
1751278663.9847562,-0.521841935564278,0.14471535010921244,0.702,-0.4858528441504011,0.14471535010921244,0.7
1751278664.0848176,-0.521841935564278,0.14471535010921244,0.702,-0.4858528441504011,0.14471535010921244,0.7
1751278664.1848793,-0.5218419349007111,0.1558473002393015,0.713,-0.4858528441504011,0.14471535010921244,0.7
1751278664.2849407,-0.5218419349007111,0.1558473002393015,0.713,-0.4858528441504011,0.14471535010921244,0.7
1751278664.3850029,-0.5218419349007111,0.1558473002393015,0.713,-0.4858528441504011,0.14471535010921244,0.7
1751278664.485064,-0.5218419349007111,0.1558473002393015,0.713,-0.4858528441504011,0.14471535010921244,0.7
1751278664.5851254,-0.5218419349007111,0.1558473002393015,0.713,-0.4858528441504011,0.14471535010921244,0.7
1751278664.6851866,-0.5218419349007111,0.1558473002393015,0.713,-0.4858528441504011,0.14471535010921244,0.7
1751278664.7852478,-0.5218419349007111,0.1558473002393015,0.713,-0.4858528441504011,0.14471535010921244,0.7
1751278664.885309,-0.5218419349007111,0.1558473002393015,0.713,-0.4858528441504011,0.14471535010921244,0.7
1751278664.9853702,-0.5218419349007111,0.1558473002393015,0.713,-0.4858528441504011,0.14471535010921244,0.7
1751278665.0854328,-0.5218419349007111,0.1558473002393015,0.713,-0.4858528441504011,0.14471535010921244,0.7
1751278665.1854942,-0.48585283550114833,0.1558473002393015,0.717,-0.4858528441504011,0.14471535010921244,0.7
1751278665.2855556,-0.48585283550114833,0.1558473002393015,0.717,-0.4858528441504011,0.14471535010921244,0.7
1751278665.3856175,-0.48585283550114833,0.1558473002393015,0.717,-0.4858528441504011,0.14471535010921244,0.7
1751278665.4856791,-0.48585283550114833,0.1558473002393015,0.717,-0.4858528441504011,0.14471535010921244,0.7
1751278665.5857396,-0.48585283550114833,0.1558473002393015,0.717,-0.4858528441504011,0.14471535010921244,0.7
1751278665.6857984,-0.48585283550114833,0.1558473002393015,0.717,-0.4858528441504011,0.14471535010921244,0.7
1751278665.7858598,-0.48585283550114833,0.1558473002393015,0.717,-0.4858528441504011,0.14471535010921244,0.7
1751278665.8859212,-0.48585283550114833,0.1558473002393015,0.717,-0.4858528441504011,0.14471535010921244,0.7
1751278665.9859827,-0.48585283550114833,0.1558473002393015,0.717,-0.4858528441504011,0.14471535010921244,0.7
1751278666.086044,-0.48585283550114833,0.1558473002393015,0.717,-0.4858528441504011,0.14471535010921244,0.7
1751278666.1861055,-0.46785828767487875,0.14471535010921244,0.709,-0.4858528441504011,0.14471535010921244,0.7
1751278666.2861674,-0.46785828767487875,0.14471535010921244,0.709,-0.4858528441504011,0.14471535010921244,0.7
