Time,GPS_Lat,GPS_Lon,GPS_Alt,N(m),E(m),Target_Alt,Yaw(deg),Local_X(m),Local_Y(m),Yaw_Offset(deg),Initial_Yaw(deg)
2025-06-29T15:22:25.450694+09:00,36.0757759,136.2132948,0.499,0.0,0.0,0.5,175.41513124555854,0.00013833807315677404,-0.01109236991032958,0.0,175.41513124555854
2025-06-29T15:22:25.550774+09:00,36.0757759,136.2132948,0.499,0.0,0.0,0.5,175.41513124555854,0.00013833807315677404,-0.01109236991032958,0.0,175.41513124555854
2025-06-29T15:22:25.650853+09:00,36.0757759,136.2132948,0.499,0.0,0.0,0.5,175.41513124555854,0.00013833807315677404,-0.01109236991032958,0.0,175.41513124555854
2025-06-29T15:22:25.750933+09:00,36.0757759,136.2132948,0.499,0.0,0.0,0.5,175.41513124555854,0.00013833807315677404,-0.01109236991032958,0.0,175.41513124555854
2025-06-29T15:22:25.851011+09:00,36.0757759,136.2132948,0.499,0.0,0.0,0.5,175.41513124555854,0.00013833807315677404,-0.01109236991032958,0.0,175.41513124555854
2025-06-29T15:22:25.951091+09:00,36.0757759,136.2132948,0.499,0.0,0.0,0.5,175.41513124555854,0.00013833807315677404,-0.01109236991032958,0.0,175.41513124555854
2025-06-29T15:22:26.051170+09:00,36.0757759,136.2132948,0.499,0.0,0.0,0.5,175.41513124555854,0.00013833807315677404,-0.01109236991032958,0.0,175.41513124555854
2025-06-29T15:22:26.151249+09:00,36.075776,136.2132947,0.534,0.0,0.0,0.5,175.41513124555854,-0.00900475645903498,-0.00011230120435357094,0.0,175.41513124555854
2025-06-29T15:22:26.251329+09:00,36.075776,136.2132947,0.534,0.0,0.0,0.5,175.41513124555854,-0.00900475645903498,-0.00011230120435357094,0.0,175.41513124555854
2025-06-29T15:22:26.351408+09:00,36.075776,136.2132947,0.534,0.0,0.0,0.5,175.41513124555854,-0.00900475645903498,-0.00011230120435357094,0.0,175.41513124555854
2025-06-29T15:22:26.451486+09:00,36.075776,136.2132947,0.534,0.0,0.0,0.5,175.41513124555854,-0.00900475645903498,-0.00011230120435357094,0.0,175.41513124555854
2025-06-29T15:22:26.551567+09:00,36.075776,136.2132947,0.534,0.0,0.0,0.5,175.41513124555854,-0.00900475645903498,-0.00011230120435357094,0.0,175.41513124555854
2025-06-29T15:22:26.651649+09:00,36.075776,136.2132947,0.534,0.0,0.0,0.5,175.41513124555854,-0.00900475645903498,-0.00011230120435357094,0.0,175.41513124555854
2025-06-29T15:22:26.751729+09:00,36.075776,136.2132947,0.534,0.0,0.0,0.5,175.41513124555854,-0.00900475645903498,-0.00011230120435357094,0.0,175.41513124555854
2025-06-29T15:22:26.851809+09:00,36.075776,136.2132947,0.534,0.0,0.0,0.5,175.41513124555854,-0.00900475645903498,-0.00011230120435357094,0.0,175.41513124555854
2025-06-29T15:22:26.951887+09:00,36.075776,136.2132947,0.534,0.0,0.0,0.5,175.41513124555854,-0.00900475645903498,-0.00011230120435357094,0.0,175.41513124555854
2025-06-29T15:22:27.051978+09:00,36.075776,136.2132947,0.534,0.0,0.0,0.5,175.41513124555854,-0.00900475645903498,-0.00011230120435357094,0.0,175.41513124555854
2025-06-29T15:22:27.152073+09:00,36.0757761,136.2132948,0.527,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:27.252162+09:00,36.0757761,136.2132948,0.527,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:27.352244+09:00,36.0757761,136.2132948,0.527,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
2025-06-29T15:22:27.452324+09:00,36.0757761,136.2132948,0.527,0.0,0.0,0.5,175.41513124555854,-0.00013833807315677404,0.011092373169958591,0.0,175.41513124555854
