Time,GPS_X,GPS_Y,GPS_Z,Target_X,Target_Y,Target_Z
1752660147.8223557,0.0,0.0,0.0,0.0,0.0,0.0
1752660147.922427,0.0,0.0,0.0,0.0,0.0,0.0
1752660148.0224864,0.0,0.0,0.0,0.0,0.0,0.0
1752660148.1225455,0.0,0.0,0.0,0.0,0.0,0.0
1752660148.2226052,0.0,0.0,0.0,0.0,0.0,0.0
1752660148.3226645,0.0,0.0,0.0,0.0,0.0,0.0
1752660148.4227233,0.0,0.0,0.0,0.0,0.0,0.0
1752660148.5227826,0.0,0.0,0.0,0.0,0.0,0.0
1752660148.6228414,0.0,0.0,0.0,0.0,0.0,0.0
1752660148.722901,0.0,0.0,0.0,0.0,0.0,0.0
1752660148.8229606,0.0,0.0,0.0,0.0,0.0,0.0
