Time,GPS_X,GPS_Y,GPS_Z,Target_X,Target_Y,Target_Z
1752222095.0874884,0.0,0.0,0.0,0.0,0.0,0.0
1752222095.1876214,0.0,0.0,0.0,0.0,0.0,0.0
1752222095.2876785,0.0,0.0,0.0,0.0,0.0,0.0
1752222095.3877342,0.0,0.0,0.0,0.0,0.0,0.0
1752222095.4877903,0.0,0.0,0.0,0.0,0.0,0.0
1752222095.5878458,0.0,0.0,0.0,0.0,0.0,0.0
1752222095.6879013,0.0,0.0,0.0,0.0,0.0,0.0
1752222095.7879567,0.0,0.0,0.0,0.0,0.0,0.0
1752222095.888012,0.0,0.0,0.0,0.0,0.0,0.0
1752222095.9880676,0.0,0.0,0.0,0.0,0.0,0.0
1752222096.0881236,0.0,0.0,0.0,0.0,0.0,0.0
1752222096.1881833,0.0,0.0,0.0,0.0,0.0,0.0
1752222096.2882423,0.0,0.0,0.0,0.0,0.0,0.0
1752222096.3883011,0.0,0.0,0.0,0.0,0.0,0.0
1752222096.4883595,0.0,0.0,0.0,0.0,0.0,0.0
1752222096.5884175,0.0,0.0,0.0,0.0,0.0,0.0
1752222096.688476,0.0,0.0,0.0,0.0,0.0,0.0
1752222096.7885349,0.0,0.0,0.0,0.0,0.0,0.0
1752222096.8885934,0.0,0.0,0.0,0.0,0.0,0.0
1752222096.9886518,0.0,0.0,0.0,0.0,0.0,0.0
1752222097.0887094,0.0,0.0,0.0,0.0,0.0,0.0
1752222097.188768,0.0,0.0,0.0,0.0,0.0,0.0
1752222097.288827,0.0,0.0,0.0,0.0,0.0,0.0
1752222097.3888865,0.0,0.0,0.0,0.0,0.0,0.0
1752222097.4889455,0.0,0.0,0.0,0.0,0.0,0.0
1752222097.5890045,0.0,0.0,0.0,0.0,0.0,0.0
1752222097.689064,0.0,0.0,0.0,0.0,0.0,0.0
1752222097.7891226,0.0,0.0,0.0,0.0,0.0,0.0
1752222097.8891811,0.0,0.0,0.0,0.0,0.0,0.0
1752222097.9892395,0.0,0.0,0.0,0.0,0.0,0.0
1752222098.0892982,0.0,0.0,0.0,0.0,0.0,0.0
1752222098.1893582,0.0,0.0,0.0,0.0,0.0,0.0
1752222098.2894175,0.0,0.0,0.0,0.0,0.0,0.0
1752222098.3894768,0.0,0.0,0.0,0.0,0.0,0.0
1752222098.4895353,0.0,0.0,0.0,0.0,0.0,0.0
1752222098.5895936,0.0,0.0,0.0,0.0,0.0,0.0
1752222098.6896522,0.0,0.0,0.0,0.0,0.0,0.0
1752222098.789712,0.0,0.0,0.0,0.0,0.0,0.0
1752222098.8897705,0.0,0.0,0.0,0.0,0.0,0.0
1752222098.989829,0.0,0.0,0.0,0.0,0.0,0.0
1752222099.0898874,0.0,0.0,0.0,0.0,0.0,0.0
1752222099.1899476,0.3149046156715383,-0.37848630046816467,0.001,0.0,0.0,0.0
1752222099.2900062,0.3149046156715383,-0.37848630046816467,0.001,0.0,0.0,0.0
1752222099.3900657,0.3149046156715383,-0.37848630046816467,0.001,0.0,0.0,0.0
1752222099.4901304,0.3149046156715383,-0.37848630046816467,0.001,0.0,0.0,0.0
1752222099.590189,0.3149046156715383,-0.37848630046816467,0.001,0.0,0.0,0.0
1752222099.690252,0.3149046156715383,-0.37848630046816467,0.001,0.0,0.0,0.0
1752222099.7903152,0.3149046156715383,-0.37848630046816467,0.001,0.0,0.0,0.0
1752222099.8903785,0.3149046156715383,-0.37848630046816467,0.001,0.0,0.0,0.0
1752222099.9904416,0.3149046156715383,-0.37848630046816467,0.001,0.0,0.0,0.0
1752222100.0905042,0.3149046156715383,-0.37848630046816467,0.001,0.0,0.0,0.0
1752222100.1905673,0.3149046156715383,-0.37848630046816467,-0.002,0.0,0.0,0.0
1752222100.29063,0.3149046156715383,-0.37848630046816467,-0.002,0.0,0.0,0.0
1752222100.3906937,0.3149046156715383,-0.37848630046816467,-0.002,0.0,0.0,0.0
1752222100.490762,0.3149046156715383,-0.37848630046816467,-0.002,0.0,0.0,0.0
1752222100.590829,0.3149046156715383,-0.37848630046816467,-0.002,0.0,0.0,0.0
1752222100.6908967,0.3149046156715383,-0.37848630046816467,-0.002,0.0,0.0,0.0
1752222100.7909641,0.3149046156715383,-0.37848630046816467,-0.002,0.0,0.0,0.0
1752222100.8910315,0.3149046156715383,-0.37848630046816467,-0.002,0.0,0.0,0.0
1752222100.9910994,0.3149046156715383,-0.37848630046816467,-0.002,0.0,0.0,0.0
1752222101.0911674,0.3149046156715383,-0.37848630046816467,-0.002,0.0,0.0,0.0
1752222101.1912363,0.3149046156715383,-0.37848630046816467,0.0,0.0,0.0,0.0
1752222101.2913022,0.3149046156715383,-0.37848630046816467,0.0,0.0,0.0,0.0
1752222101.3913705,0.3149046156715383,-0.37848630046816467,0.0,0.0,0.0,0.0
1752222101.4914377,0.3149046156715383,-0.37848630046816467,0.0,0.0,0.0,0.0
1752222101.591507,0.3149046156715383,-0.37848630046816467,0.0,0.0,0.0,0.0
